,cell_line,drug,IC50,prediction,OncotreeCode,pca_1,pca_2,pca_1>0.002
0,HCC827,5-Fluorouracil,5.191741,5.472933,LUAD,-0.000618,-0.000033,0
1,HCC827,ABT737,4.389625,2.832198,LUAD,0.004526,-0.000156,1
2,HCC827,AGI-5198,5.698307,5.063128,LUAD,-0.000181,-0.001011,0
3,HCC827,AGI-6780,5.258638,4.925839,LUAD,-0.000051,-0.001094,0
4,HCC827,AGK2,4.342128,3.713538,LUAD,-0.000288,-0.000928,0
5,HCC827,AZ960,5.047218,2.323411,LUAD,-0.00064,-0.0007,0
6,HCC827,AZD3759,-2.602837,2.359838,LUAD,-0.000018,-0.000949,0
7,HCC827,AZD4547,3.380675,3.879657,LUAD,-0.000137,-0.001081,0
8,HCC827,AZD5363,4.219376,3.367161,LUAD,-0.000539,-0.000778,0
9,HCC827,AZD5582,2.972299,1.523502,LUAD,0.004514,-0.000197,1
10,HCC827,AZD6738,2.491286,2.339456,LUAD,-0.000322,-0.001003,0
11,HCC827,AZD7762,-0.259637,0.612362,LUAD,-0.000429,-0.00057,0
12,HCC827,AZD8186,2.968449,3.186983,LUAD,-0.000116,-0.001048,0
13,HCC827,Afatinib,-3.935928,0.854371,LUAD,-0.000123,-0.001035,0
14,HCC827,Afuresertib,4.136904,3.461856,LUAD,-0.000636,-0.000761,0
15,HCC827,Alpelisib,4.250128,3.738944,LUAD,-0.000285,-0.000862,0
16,HCC827,Avagacestat,5.974605,5.425638,LUAD,0.000189,-0.000894,0
17,HCC827,Axitinib,4.678995,4.202879,LUAD,-0.000434,-0.00071,0
18,HCC827,BMS-345541,4.410972,3.760483,LUAD,-0.000504,-0.000668,0
19,HCC827,BMS-536924,2.067005,2.064626,LUAD,-0.000101,-0.001078,0
20,HCC827,BMS-754807,4.120546,3.205099,LUAD,-0.000081,-0.001045,0
21,HCC827,Bortezomib,-4.751015,-4.627317,LUAD,-0.000473,-0.00073,0
22,HCC827,Bosutinib,-0.149514,2.845362,LUAD,-0.000077,-0.001111,0
23,HCC827,Buparlisib,1.703575,1.526273,LUAD,-0.000667,-0.000812,0
24,HCC827,CCT007093,5.944281,5.527743,LUAD,-0.00061,-0.000386,0
25,HCC827,CZC24832,5.523252,5.534224,LUAD,-0.000445,-0.00078,0
26,HCC827,Camptothecin,-0.321596,-0.801389,LUAD,-0.000601,-0.000753,0
27,HCC827,Cediranib,0.034428,2.275009,LUAD,-0.000416,-0.00095,0
28,HCC827,Crizotinib,3.554618,3.750266,LUAD,-0.000512,-0.000805,0
29,HCC827,Cyclophosphamide,7.068307,5.948666,LUAD,-0.000536,-0.000363,0
30,HCC827,Dactinomycin,-3.509835,-2.756037,LUAD,0.004607,0.000707,1
31,HCC827,Dactolisib,-0.743924,-1.63377,LUAD,0.000085,-0.00117,0
32,HCC827,Dasatinib,-1.569385,-0.774151,LUAD,-0.00021,-0.001089,0
33,HCC827,Dinaciclib,-3.045723,-2.033325,LUAD,-0.000564,-0.000584,0
34,HCC827,Docetaxel,-0.806449,-2.018757,LUAD,0.004151,-0.00019,1
35,HCC827,Doramapimod,6.395796,5.949734,LUAD,-0.000125,-0.001146,0
36,HCC827,EHT-1864,4.657623,4.172162,LUAD,-0.000108,-0.000857,0
37,HCC827,EPZ004777,5.774092,6.134833,LUAD,0.000002,-0.00101,0
38,HCC827,EPZ5676,5.850756,6.318112,LUAD,0.00062,-0.00109,0
39,HCC827,Entinostat,-0.061344,2.765834,LUAD,-0.000636,-0.000692,0
40,HCC827,Entospletinib,5.248491,3.375589,LUAD,-0.000397,-0.000961,0
41,HCC827,Epirubicin,0.302015,0.30499,LUAD,0.000497,-0.000936,0
42,HCC827,Erlotinib,-2.707414,3.097792,LUAD,-0.000495,-0.00042,0
43,HCC827,Fulvestrant,4.347685,4.062886,LUAD,-0.000003,-0.001037,0
44,HCC827,GDC0810,6.591395,5.402215,LUAD,0.000041,-0.000903,0
45,HCC827,GSK1904529A,4.790134,4.860305,LUAD,0.004632,-0.000109,1
46,HCC827,GSK2578215A,6.097336,5.398886,LUAD,-0.000471,-0.000734,0
47,HCC827,GSK2606414,3.852861,4.075815,LUAD,-0.000086,-0.001159,0
48,HCC827,GSK343,3.689302,3.967463,LUAD,-0.000007,-0.001058,0
49,HCC827,GW441756,4.333161,3.625226,LUAD,-0.000512,-0.000719,0
50,HCC827,Gefitinib,-2.738697,3.107241,LUAD,-0.000617,-0.00074,0
51,HCC827,Gemcitabine,2.488382,2.321117,LUAD,-0.000477,-0.000557,0
52,HCC827,I-BET-762,4.108792,3.857557,LUAD,-0.000508,-0.000909,0
53,HCC827,I-BRD9,7.025837,5.036364,LUAD,-0.000044,-0.000925,0
54,HCC827,IWP-2,1.912871,3.553622,LUAD,-0.00032,-0.000963,0
55,HCC827,Ibrutinib,4.930049,4.33216,LUAD,-0.000072,-0.001126,0
56,HCC827,Ipatasertib,4.428936,4.772552,LUAD,-0.000505,-0.000746,0
57,HCC827,Irinotecan,4.13326,4.267455,LUAD,0.000555,-0.000916,0
58,HCC827,JNK Inhibitor VIII,6.47021,6.034419,LUAD,-0.0005,-0.000439,0
59,HCC827,JQ1,3.797048,2.832916,LUAD,-0.000058,-0.001083,0
60,HCC827,KRAS (G12C) Inhibitor-12,5.936296,5.146334,LUAD,-0.000341,-0.00078,0
61,HCC827,KU-55933,6.402763,5.407267,LUAD,-0.000487,-0.00039,0
62,HCC827,LCL161,4.12887,5.049878,LUAD,-0.000186,-0.00099,0
63,HCC827,LGK974,4.241947,4.729122,LUAD,-0.000508,-0.000739,0
64,HCC827,LY2109761,5.333651,5.532507,LUAD,-0.000429,-0.000763,0
65,HCC827,Lapatinib,1.139135,3.207242,LUAD,0.000597,-0.000954,0
66,HCC827,Leflunomide,5.431557,5.28998,LUAD,-0.000511,-0.000715,0
67,HCC827,Lenalidomide,6.196843,5.858749,LUAD,-0.000537,-0.000582,0
68,HCC827,Lestaurtinib,0.150939,1.21946,LUAD,0.000049,-0.000932,0
69,HCC827,Linsitinib,5.207676,4.279831,LUAD,-0.000072,-0.001041,0
70,HCC827,Luminespib,-1.178819,-1.323276,LUAD,0.000018,-0.000991,0
71,HCC827,MG-132,-1.488899,-1.351936,LUAD,-0.000267,-0.000863,0
72,HCC827,MIRA-1,7.49016,6.042,LUAD,-0.00054,-0.00025,0
73,HCC827,MK-1775,0.629055,1.006748,LUAD,0.000288,-0.000944,0
74,HCC827,MK-2206,3.571288,3.514735,LUAD,-0.000191,-0.00093,0
75,HCC827,ML323,5.843242,5.090003,LUAD,-0.000542,-0.000824,0
76,HCC827,MN-64,5.909207,5.017004,LUAD,-0.000496,-0.000569,0
77,HCC827,Mirin,4.332144,5.455935,LUAD,-0.000563,-0.000474,0
78,HCC827,Motesanib,6.600753,6.298216,LUAD,-0.000545,-0.000661,0
79,HCC827,NU7441,3.533807,3.869419,LUAD,-0.000627,-0.000845,0
80,HCC827,NVP-ADW742,3.899977,2.969955,LUAD,-0.000052,-0.00108,0
81,HCC827,Navitoclax,3.326192,2.815658,LUAD,0.004723,-0.000219,1
82,HCC827,Nilotinib,5.265869,4.126923,LUAD,0.000565,-0.00089,0
83,HCC827,Niraparib,5.389704,5.142127,LUAD,-0.000493,-0.000611,0
84,HCC827,Nutlin-3a (-),6.196977,5.914994,LUAD,0.000567,-0.000947,0
85,HCC827,OF-1,3.666942,5.13256,LUAD,-0.000656,-0.000893,0
86,HCC827,OSI-027,2.338258,2.469284,LUAD,-0.000447,-0.000722,0
87,HCC827,OTX015,6.368497,2.157932,LUAD,-0.000127,-0.001069,0
88,HCC827,Olaparib,4.128216,4.871305,LUAD,-0.000156,-0.000989,0
89,HCC827,Osimertinib,-3.593735,1.613732,LUAD,0.000101,-0.000926,0
90,HCC827,Oxaliplatin,5.573582,5.771776,LUAD,-0.000608,-0.000424,0
91,HCC827,P22077,3.348494,5.179766,LUAD,-0.000355,-0.000645,0
92,HCC827,PCI-34051,6.527695,5.013659,LUAD,-0.000491,-0.000705,0
93,HCC827,PD0325901,3.312647,0.875803,LUAD,-0.000579,-0.000737,0
94,HCC827,PD173074,4.979329,4.359511,LUAD,0.000052,-0.000804,0
95,HCC827,PFI-1,4.923893,4.36802,LUAD,-0.000417,-0.000772,0
96,HCC827,PFI3,6.165112,5.753584,LUAD,-0.000516,-0.000622,0
97,HCC827,PLX-4720,3.303863,4.956226,LUAD,-0.000713,-0.000705,0
98,HCC827,PRIMA-1MET,6.004583,5.065796,LUAD,-0.000508,-0.000292,0
99,HCC827,PRT062607,4.610552,3.777049,LUAD,-0.00053,-0.000572,0
100,HCC827,Paclitaxel,-0.057143,-1.962201,LUAD,0.00447,-0.000223,1
101,HCC827,Palbociclib,6.131633,4.042367,LUAD,-0.000188,-0.001068,0
102,HCC827,Pevonedistat,2.32072,2.030622,LUAD,-0.000253,-0.001038,0
103,HCC827,Picolinici-acid,5.621263,5.634407,LUAD,-0.000577,-0.000317,0
104,HCC827,Pictilisib,1.080641,1.365342,LUAD,0.000142,-0.00091,0
105,HCC827,RO-3306,6.559052,4.735157,LUAD,-0.000462,-0.000604,0
106,HCC827,RVX-208,6.349175,5.337145,LUAD,-0.000646,-0.000762,0
107,HCC827,Refametinib,2.633088,1.647788,LUAD,0.000034,-0.000957,0
108,HCC827,Ribociclib,5.29779,4.260665,LUAD,-0.000278,-0.001017,0
109,HCC827,Rucaparib,3.376308,4.737974,LUAD,-0.000431,-0.000548,0
110,HCC827,Ruxolitinib,3.707325,5.759459,LUAD,-0.00049,-0.000725,0
111,HCC827,SB216763,5.519993,5.49939,LUAD,-0.000595,-0.000784,0
112,HCC827,SB590885,5.632307,4.617467,LUAD,-0.000023,-0.001052,0
113,HCC827,SCH772984,1.519828,2.462183,LUAD,0.001171,-0.000886,0
114,HCC827,SGC0946,2.557969,2.599342,LUAD,0.00042,-0.00091,0
115,HCC827,SN-38,-0.430806,3.437464,LUAD,-0.000426,-0.000953,0
116,HCC827,Sabutoclax,-1.225513,0.810162,LUAD,0.003779,-0.000173,1
117,HCC827,Savolitinib,4.425659,3.184423,LUAD,-0.000573,-0.000666,0
118,HCC827,Selumetinib,3.196617,3.979364,LUAD,-0.000571,-0.000767,0
119,HCC827,Sepantronium bromide,-4.616246,-5.029774,LUAD,-0.000556,-0.000455,0
120,HCC827,Serdemetan,3.94838,4.497422,LUAD,-0.000521,-0.000666,0
121,HCC827,Sorafenib,3.868251,3.29333,LUAD,-0.000131,-0.001171,0
122,HCC827,Staurosporine,-1.467606,-2.532873,LUAD,0.000099,-0.000927,0
123,HCC827,Talazoparib,5.426588,4.578629,LUAD,-0.000456,-0.000963,0
124,HCC827,Tamoxifen,4.133604,4.185057,LUAD,-0.000479,-0.000442,0
125,HCC827,Tanespimycin,1.484273,-0.081535,LUAD,0.000592,-0.000936,0
126,HCC827,Taselisib,1.636005,1.983337,LUAD,-0.000088,-0.001066,0
127,HCC827,Telomerase Inhibitor IX,2.288275,1.452784,LUAD,-0.000498,-0.000748,0
128,HCC827,Temozolomide,7.065678,7.377537,LUAD,-0.000582,-0.000546,0
129,HCC827,Trametinib,2.250742,-0.291217,LUAD,0.00041,-0.001019,0
130,HCC827,Ulixertinib,4.95217,2.831732,LUAD,-0.000534,-0.000782,0
131,HCC827,Uprosertib,4.478582,4.230968,LUAD,-0.000524,-0.000756,0
132,HCC827,VE-822,5.554657,3.638345,LUAD,0.000135,-0.001089,0
133,HCC827,Veliparib,6.252406,5.734381,LUAD,-0.000545,-0.000434,0
134,HCC827,Venetoclax,4.727563,3.497821,LUAD,0.004449,-0.000172,1
135,HCC827,Vismodegib,6.367726,5.575633,LUAD,-0.000325,-0.000936,0
136,HCC827,Vorinostat,2.554634,2.62783,LUAD,-0.000389,-0.000373,0
137,HCC827,WEHI-539,4.807175,4.328659,LUAD,0.000816,-0.000983,0
138,HCC827,WIKI4,4.14231,3.745811,LUAD,0.000115,-0.001016,0
139,HCC827,WZ4003,3.106007,3.928654,LUAD,-0.000011,-0.001139,0
140,HCC827,Wnt-C59,3.909002,4.948004,LUAD,-0.000545,-0.000732,0
141,HCC827,XAV939,3.172621,4.510709,LUAD,-0.000485,-0.000654,0
