"",drug,cell_line,OncotreeCode,IC50,prediction,IC50_Z,prediction_Z
0,AZD5582,22RV1,PRAD,2.402949,1.643723,0.104758,-0.219407
1,BMS-754807,22RV1,PRAD,2.273743,2.213722,0.055318,0.025274
2,Cediranib,22RV1,PRAD,2.109625,2.356892,-0.135449,0.071924
3,Crizotinib,22RV1,PRAD,2.502973,2.328625,-0.038189,-0.153605
4,Daporinad,22RV1,PRAD,-3.112784,-4.460928,0.079539,-0.401012
5,Doramapimod,22RV1,PRAD,6.475129,5.923717,1.292677,0.828634
6,Entinostat,22RV1,PRAD,1.987387,2.751443,-0.026224,0.440503
7,GNE-317,22RV1,PRAD,-0.170000,-0.284575,-0.654226,-0.742221
8,IWP-2,22RV1,PRAD,4.036203,3.439374,1.299582,0.634184
9,JNK Inhibitor VIII,22RV1,PRAD,6.414185,5.790496,1.370523,0.721619
10,PFI-1,22RV1,PRAD,3.564366,4.260940,-0.435235,0.183325
11,Picolinici-acid,22RV1,PRAD,6.430491,5.675771,1.440331,0.504568
12,Podophyllotoxin bromide,22RV1,PRAD,-0.355127,-0.624111,0.059687,-0.113670
13,SB216763,22RV1,PRAD,5.831497,6.109694,0.626472,0.894251
14,SCH772984,22RV1,PRAD,3.056805,3.525237,0.304985,0.560239
15,Schweinfurthin A,22RV1,PRAD,1.454677,1.844260,0.152311,0.318756
16,VE821,22RV1,PRAD,6.013336,5.047234,1.309825,0.699818
17,WIKI4,22RV1,PRAD,4.876028,4.806249,1.187193,1.114630
18,YK-4-279,22RV1,PRAD,2.770574,3.240781,0.316886,0.601598
19,AGI-6780,2313287,STAD,5.095646,4.095149,0.691269,-0.229979
20,BI-2536,2313287,STAD,-2.982427,-2.282874,-0.758205,-0.490979
21,BMS-345541,2313287,STAD,1.656376,2.768143,-1.228069,-0.386096
22,BMS-754807,2313287,STAD,5.156278,2.571213,1.498209,0.204221
23,CZC24832,2313287,STAD,4.370623,5.013983,-0.807492,-0.130142
24,Foretinib,2313287,STAD,1.257734,0.960435,0.255545,0.037306
25,Gallibiscoquinazole,2313287,STAD,2.094836,2.316086,-0.679602,-0.434456
26,IWP-2,2313287,STAD,3.052355,2.889843,0.202700,0.021517
27,JQ1,2313287,STAD,4.865214,2.534925,1.454341,0.260860
28,KU-55933,2313287,STAD,5.581813,4.897363,0.479953,-0.127507
29,LGK974,2313287,STAD,4.003138,4.143750,-0.212255,-0.085307
30,LY2109761,2313287,STAD,5.450591,4.849111,0.425567,-0.151135
31,MIRA-1,2313287,STAD,5.158627,5.203233,-0.064001,-0.027866
32,MK-1775,2313287,STAD,-0.256284,0.234918,-0.628799,-0.282843
33,Olaparib,2313287,STAD,4.566102,4.340115,0.258452,0.084850
34,PD173074,2313287,STAD,4.429554,3.098815,0.474056,-0.472790
35,Pictilisib,2313287,STAD,-0.396882,-0.044619,-1.280026,-1.001194
36,Pyridostatin,2313287,STAD,2.543121,2.748893,-0.790697,-0.632372
37,RVX-208,2313287,STAD,4.242455,4.834256,-0.461145,0.088660
38,AGI-5198,42MGBA,GB,4.675810,4.667435,-0.031174,-0.040402
