,drug,cell_line,OncotreeCode,IC50,prediction
0,AZD5582,22RV1,PRAD,2.402948602,1.643723
1,BMS-754807,22RV1,PRAD,2.273742738,2.213722
2,Cediranib,22RV1,PRAD,2.109624718,2.356892
3,Crizotinib,22RV1,PRAD,2.502973019,2.328625
4,Daporinad,22RV1,PRAD,-3.112783708,-4.460928
5,Doramapimod,22RV1,PRAD,6.475129424,5.923717
6,Entinostat,22RV1,PRAD,1.987386848,2.751443
7,GNE-317,22RV1,PRAD,-0.169999524,-0.284575
8,IWP-2,22RV1,PRAD,4.03620347,3.439374
9,JNK Inhibitor VIII,22RV1,PRAD,6.414184847,5.790496
10,PFI-1,22RV1,PRAD,3.564365804,4.26094
11,Picolinici-acid,22RV1,PRAD,6.430491008,5.675771
12,Podophyllotoxin bromide,22RV1,PRAD,-0.355126514,-0.624111
13,SB216763,22RV1,PRAD,5.831496756,6.109694
14,SCH772984,22RV1,PRAD,3.056804669,3.525237
15,Schweinfurthin A,22RV1,PRAD,1.454677169,1.84426
16,VE821,22RV1,PRAD,6.013336217,5.047234
17,WIKI4,22RV1,PRAD,4.876027673,4.806249
18,YK-4-279,22RV1,PRAD,2.770574191,3.240781
19,AGI-6780,2313287,STAD,5.095646136,4.095149
20,BI-2536,2313287,STAD,-2.982427093,-2.282874
21,BMS-345541,2313287,STAD,1.656375855,2.768143
22,BMS-754807,2313287,STAD,5.156277878,2.571213
23,CZC24832,2313287,STAD,4.370623157,5.013983
24,Foretinib,2313287,STAD,1.257734015,0.960435
25,Gallibiscoquinazole,2313287,STAD,2.094835589,2.316086
26,IWP-2,2313287,STAD,3.052354603,2.889843
27,JQ1,2313287,STAD,4.865213988,2.534925
28,KU-55933,2313287,STAD,5.581812821,4.897363
29,LGK974,2313287,STAD,4.003137877,4.14375
30,LY2109761,2313287,STAD,5.450591225,4.849111
31,MIRA-1,2313287,STAD,5.158626786,5.203233
32,MK-1775,2313287,STAD,-0.256284394,0.234918
33,Olaparib,2313287,STAD,4.566102272,4.340115
34,PD173074,2313287,STAD,4.429553967,3.098815
35,Pictilisib,2313287,STAD,-0.396881887,-0.044619
36,Pyridostatin,2313287,STAD,2.543120902,2.748893
37,RVX-208,2313287,STAD,4.242455291,4.834256
38,AGI-5198,42MGBA,GB,4.675809893,4.667435
39,AZD1332,42MGBA,GB,2.00194875,1.960944
40,AZD2014,42MGBA,GB,0.590397135,1.612594
41,AZD3759,42MGBA,GB,2.929658162,2.818325
42,AZD5153,42MGBA,GB,0.809972863,2.347463
43,AZD8055,42MGBA,GB,-1.172429188,-0.928616
44,EHT-1864,42MGBA,GB,4.456416059,4.117334
45,GSK2110183B,42MGBA,GB,1.291286157,2.450821
46,I-BET-762,42MGBA,GB,3.274632651,3.003639
47,MIRA-1,42MGBA,GB,5.027174297,5.426809
48,MK-2206,42MGBA,GB,1.484758239,1.910162
49,ML323,42MGBA,GB,4.757731851,4.998654
50,Mirin,42MGBA,GB,3.97904156,4.273737
51,Nilotinib,42MGBA,GB,1.981260534,1.860524
52,OSI-027,42MGBA,GB,3.473819094,1.890839
53,Obatoclax Mesylate,42MGBA,GB,-0.244292071,0.19617
54,PRIMA-1MET,42MGBA,GB,5.835447707,4.084421
55,Talazoparib,42MGBA,GB,1.730878787,1.402235
56,UMI-77,42MGBA,GB,2.958389741,2.679653
57,AZD5153,5637,BLCA,2.46612734,1.986838
58,AZD5991,5637,BLCA,5.820345479,5.012986
59,AZD6738,5637,BLCA,2.027116543,2.574668
60,BMS-754807,5637,BLCA,1.665761531,1.451408
61,Bortezomib,5637,BLCA,-5.057752664,-4.742018
62,Dacarbazine,5637,BLCA,4.543158896,5.481768
63,Doramapimod,5637,BLCA,5.200057781,5.46402
64,Irinotecan,5637,BLCA,2.161042252,2.030783
65,L-Oxonoreleagnine,5637,BLCA,3.724792261,3.749814
66,LJI308,5637,BLCA,5.417476532,5.025697
67,Motesanib,5637,BLCA,5.823757584,5.585556
68,Nelarabine,5637,BLCA,6.095601399,5.687309
69,OF-1,5637,BLCA,4.316373122,4.046868
70,Picolinici-acid,5637,BLCA,4.481904872,5.314881
71,Pictilisib,5637,BLCA,1.436847815,1.151253
72,SB216763,5637,BLCA,4.869955119,4.710679
73,SN-38,5637,BLCA,-4.537336523,-3.405225
74,Topotecan,5637,BLCA,-0.574155325,-0.147599
75,Ulixertinib,5637,BLCA,2.780808959,2.53442
76,AZD5363,639V,UCU,3.137377406,3.442612
77,AZD5438,639V,UCU,2.059120302,1.613616
78,Dihydrorotenone,639V,UCU,0.00477706,0.323857
79,Dinaciclib,639V,UCU,-3.042293324,-3.237413
80,EPZ004777,639V,UCU,4.421652785,5.140474
81,IWP-2,639V,UCU,1.436978742,2.720238
82,MK-8776,639V,UCU,4.327863301,3.40799
83,MN-64,639V,UCU,5.032525042,4.818431
84,Paclitaxel,639V,UCU,-3.88069157,-3.367877
85,Pevonedistat,639V,UCU,-1.13764662,-1.139332
86,Rucaparib,639V,UCU,4.74102279,4.006345
87,Sabutoclax,639V,UCU,-1.315522228,-1.257644
88,Serdemetan,639V,UCU,4.129406393,3.877814
89,Sinularin,639V,UCU,3.056954936,3.065355
90,Taselisib,639V,UCU,2.765864363,2.518196
91,Telomerase Inhibitor IX,639V,UCU,-0.375633588,-0.058654
92,UMI-77,639V,UCU,4.713360173,2.043488
93,UNC0638,639V,UCU,4.701384066,4.534403
94,VX-11e,639V,UCU,3.724252706,3.271083
95,ABT737,647V,BLCA,3.443262773,2.330536
96,AZD5363,647V,BLCA,3.430208271,3.597197
97,Bromosporine,647V,BLCA,2.58265738,3.259472
98,Carmustine,647V,BLCA,5.747662936,5.890389
99,Dactolisib,647V,BLCA,-1.13433791,-1.480761
100,Docetaxel,647V,BLCA,-4.232215288,-1.437276
101,Entinostat,647V,BLCA,2.909232194,1.834324
102,Epirubicin,647V,BLCA,-1.847759871,-1.954702
103,I-BET-762,647V,BLCA,3.935046078,3.907537
104,Luminespib,647V,BLCA,-1.540990563,-1.876084
105,Mycophenolic acid,647V,BLCA,0.693734297,1.303748
106,PCI-34051,647V,BLCA,4.550600966,4.816986
107,Palbociclib,647V,BLCA,5.057744838,4.690639
108,RVX-208,647V,BLCA,5.649461507,5.116815
109,Romidepsin,647V,BLCA,-5.124041934,-5.232806
110,Sorafenib,647V,BLCA,2.895656249,2.64079
111,Teniposide,647V,BLCA,-0.260882043,-0.507028
112,WZ4003,647V,BLCA,4.65887212,4.592632
113,ZM447439,647V,BLCA,1.838385322,3.412785
114,5-Fluorouracil,697,BLL,2.253100542,2.275522
115,ABT737,697,BLL,-2.458444465,-3.536681
116,AZD2014,697,BLL,-0.249461486,1.226153
117,Bortezomib,697,BLL,-5.433287658,-5.922573
118,Carmustine,697,BLL,4.284964051,5.030957
119,Dabrafenib,697,BLL,0.768096188,3.294303
120,Fulvestrant,697,BLL,2.365352465,2.458559
121,GW441756,697,BLL,2.230069177,2.175393
122,L-Oxonoreleagnine,697,BLL,2.979720641,2.850211
123,Lenalidomide,697,BLL,3.205713879,3.545506
124,Linsitinib,697,BLL,2.338150953,3.29791
125,ML323,697,BLL,3.227181927,3.683433
126,Olaparib,697,BLL,0.63669863,1.683238
127,PFI-1,697,BLL,1.500031573,2.246452
128,Pevonedistat,697,BLL,-1.360519542,-2.167114
129,Selumetinib,697,BLL,3.473996269,3.645012
130,Staurosporine,697,BLL,-5.550026842,-4.089131
131,Vincristine,697,BLL,-4.71509636,-5.886465
132,YK-4-279,697,BLL,-0.571283488,0.096817
133,AT13148,769P,CCRCC,2.203389393,3.292856
134,AZD5363,769P,CCRCC,4.055359638,3.641653
135,AZD5438,769P,CCRCC,1.612122439,1.62694
136,AZD6738,769P,CCRCC,0.765419503,0.837358
137,Avagacestat,769P,CCRCC,4.316661266,4.718262
138,BIBR-1532,769P,CCRCC,4.713759583,5.088254
139,EPZ5676,769P,CCRCC,4.514918422,5.632568
140,Erlotinib,769P,CCRCC,1.718921089,1.337541
141,Foretinib,769P,CCRCC,1.89662919,1.146526
