,drug,cell_line,IC50,OncotreeCode,prediction
0,5-Fluorouracil,OPM2,3.454205,PCM,3.180841
1,5-azacytidine,OPM2,1.412405,PCM,2.575887
2,A-366,OPM2,3.899873,PCM,3.786826
3,ABT737,OPM2,1.208203,PCM,-2.233765
4,AGI-5198,OPM2,3.522023,PCM,3.753544
5,AGI-6780,OPM2,3.788475,PCM,2.965023
6,AGK2,OPM2,2.446377,PCM,2.395166
7,AMG-319,OPM2,4.601831,PCM,3.758913
8,AT13148,OPM2,2.147748,PCM,1.851161
9,AZ6102,OPM2,1.98413,PCM,1.967083
10,AZ960,OPM2,-0.00282,PCM,-0.153098
11,AZD1208,OPM2,4.601831,PCM,3.814701
12,AZD1332,OPM2,0.953965,PCM,3.381686
13,AZD2014,OPM2,-0.372368,PCM,1.252028
14,AZD3759,OPM2,1.458643,PCM,2.862872
15,AZD4547,OPM2,-1.251792,PCM,1.690077
16,AZD5153,OPM2,-3.170036,PCM,-1.563564
17,AZD5363,OPM2,0.826557,PCM,1.221027
18,AZD5438,OPM2,0.506596,PCM,1.058784
19,AZD5582,OPM2,1.873079,PCM,0.523703
20,AZD5991,OPM2,-3.051117,PCM,-2.210587
21,AZD6738,OPM2,1.134841,PCM,1.068285
22,AZD7762,OPM2,-1.230775,PCM,-1.49869
23,AZD8055,OPM2,-2.233541,PCM,-1.101641
24,AZD8186,OPM2,4.154317,PCM,2.63577
25,Acetalax,OPM2,5.118468,PCM,4.874598
26,Afatinib,OPM2,1.778145,PCM,1.124702
27,Afuresertib,OPM2,-0.042964,PCM,0.572612
28,Alisertib,OPM2,-0.404305,PCM,0.872433
29,Alpelisib,OPM2,2.638413,PCM,2.177604
30,Avagacestat,OPM2,4.11361,PCM,3.959129
31,Axitinib,OPM2,1.248727,PCM,1.336901
32,BI-2536,OPM2,-4.853847,PCM,-3.996563
33,BIBR-1532,OPM2,4.583457,PCM,4.138722
34,BMS-345541,OPM2,1.992539,PCM,2.209972
35,BMS-536924,OPM2,-0.64021,PCM,0.537018
36,BMS-754807,OPM2,-0.849515,PCM,-0.728147
37,Bleomycin,OPM2,2.583333,PCM,2.845041
38,Bleomycin (50 uM),OPM2,4.85527,PCM,2.786615
39,Bortezomib,OPM2,-5.630687,PCM,-5.908915
40,Bosutinib,OPM2,1.15148,PCM,1.330941
41,Bromosporine,OPM2,-0.088631,PCM,0.814596
42,Buparlisib,OPM2,0.559263,PCM,0.271426
43,CCT007093,OPM2,4.352016,PCM,4.45506
44,CPI-637,OPM2,0.758976,PCM,2.704897
45,CZC24832,OPM2,4.403091,PCM,4.10763
46,Camptothecin,OPM2,-2.500271,PCM,-3.065116
47,Carmustine,OPM2,5.700444,PCM,5.689956
48,Cediranib,OPM2,-0.018775,PCM,1.683448
49,Cisplatin,OPM2,1.770413,PCM,1.929649
50,Crizotinib,OPM2,0.992639,PCM,1.038484
51,Cyclophosphamide,OPM2,4.601742,PCM,4.271272
52,Cytarabine,OPM2,0.420702,PCM,1.739502
53,Dabrafenib,OPM2,3.27401,PCM,3.547961
54,Dacarbazine,OPM2,3.888655,PCM,4.828106
55,Dactinomycin,OPM2,-4.608976,PCM,-4.766228
56,Dactolisib,OPM2,-3.593117,PCM,-2.902245
57,Daporinad,OPM2,-5.123417,PCM,-6.204997
58,Dasatinib,OPM2,1.278635,PCM,1.767881
59,Dihydrorotenone,OPM2,0.44955,PCM,-1.304283
60,Dinaciclib,OPM2,-3.767888,PCM,-4.623055
61,Docetaxel,OPM2,-4.089259,PCM,-6.017775
62,Doramapimod,OPM2,3.858415,PCM,3.792813
63,EHT-1864,OPM2,3.542593,PCM,2.860218
64,EPZ004777,OPM2,4.045858,PCM,4.696015
65,EPZ5676,OPM2,4.443691,PCM,4.564119
66,Elephantin,OPM2,1.806654,PCM,2.090977
67,Entinostat,OPM2,0.525157,PCM,0.17973
68,Entospletinib,OPM2,3.029222,PCM,3.243778
69,Epirubicin,OPM2,-1.498083,PCM,-1.83204
70,Erlotinib,OPM2,2.292839,PCM,2.421723
71,Fludarabine,OPM2,3.893629,PCM,3.791645
72,Foretinib,OPM2,-0.029525,PCM,-0.255295
73,Fulvestrant,OPM2,3.227639,PCM,2.926882
74,GDC0810,OPM2,4.051211,PCM,3.935915
75,GSK-LSD1,OPM2,1.645532,PCM,1.830297
76,GSK1904529A,OPM2,3.681037,PCM,3.413508
77,GSK2110183B,OPM2,0.947124,PCM,1.961694
78,GSK2578215A,OPM2,4.601786,PCM,3.572445
79,GSK2606414,OPM2,4.599823,PCM,2.695036
80,GSK2801,OPM2,3.583448,PCM,3.542966
81,GSK2830371,OPM2,4.546542,PCM,4.061083
82,GSK343,OPM2,2.963512,PCM,2.635868
83,GSK591,OPM2,4.435578,PCM,3.374614
84,GW441756,OPM2,2.991534,PCM,2.321156
85,Gallibiscoquinazole,OPM2,2.087107,PCM,1.904639
86,Gefitinib,OPM2,2.807801,PCM,2.819635
87,Gemcitabine,OPM2,-1.162171,PCM,-1.309497
