#,drug,cell_line,IC50,OncotreeCode,prediction
1,5-Fluorouracil,HCC827,5.191741,LUAD,5.472933
2,5-azacytidine,HCC827,3.595454,LUAD,4.41292
3,A-366,HCC827,6.028838,LUAD,5.417455
4,ABT737,HCC827,4.389625,LUAD,2.832198
5,AGI-5198,HCC827,5.698307,LUAD,5.063128
6,AGI-6780,HCC827,5.258638,LUAD,4.925839
7,AGK2,HCC827,4.342128,LUAD,3.713538
8,AMG-319,HCC827,4.792711,LUAD,5.306702
9,AT13148,HCC827,3.666321,LUAD,4.696898
10,AZ6102,HCC827,2.74864,LUAD,2.887574
11,AZ960,HCC827,5.047218,LUAD,2.323411
12,AZD1208,HCC827,5.791158,LUAD,5.76562
13,AZD1332,HCC827,6.636518,LUAD,3.879578
14,AZD2014,HCC827,3.100172,LUAD,2.049628
15,AZD3759,HCC827,-2.602837,LUAD,2.359838
16,AZD4547,HCC827,3.380675,LUAD,3.879657
17,AZD5153,HCC827,2.843574,LUAD,1.605869
18,AZD5363,HCC827,4.219376,LUAD,3.367161
19,AZD5438,HCC827,2.575397,LUAD,3.273919
20,AZD5582,HCC827,2.972299,LUAD,1.523502
21,AZD5991,HCC827,6.67956,LUAD,6.12977
22,AZD6738,HCC827,2.491286,LUAD,2.339456
23,AZD7762,HCC827,-0.259637,LUAD,0.612362
24,AZD8055,HCC827,0.20646,LUAD,-0.055399
25,AZD8186,HCC827,2.968449,LUAD,3.186983
26,Acetalax,HCC827,7.429243,LUAD,5.988255
27,Afatinib,HCC827,-3.935928,LUAD,0.854371
28,Afuresertib,HCC827,4.136904,LUAD,3.461856
29,Alisertib,HCC827,2.581718,LUAD,3.134315
30,Alpelisib,HCC827,4.250128,LUAD,3.738944
31,Avagacestat,HCC827,5.974605,LUAD,5.425638
32,Axitinib,HCC827,4.678995,LUAD,4.202879
33,BI-2536,HCC827,-0.024598,LUAD,1.382053
34,BIBR-1532,HCC827,5.171032,LUAD,5.509692
35,BMS-345541,HCC827,4.410972,LUAD,3.760483
36,BMS-536924,HCC827,2.067005,LUAD,2.064626
37,BMS-754807,HCC827,4.120546,LUAD,3.205099
38,Bleomycin,HCC827,2.310292,LUAD,3.968763
39,Bleomycin (50 uM),HCC827,4.117045,LUAD,4.029915
40,Bortezomib,HCC827,-4.751015,LUAD,-4.627317
41,Bosutinib,HCC827,-0.149514,LUAD,2.845362
42,Bromosporine,HCC827,3.584292,LUAD,2.795438
43,Buparlisib,HCC827,1.703575,LUAD,1.526273
44,CCT007093,HCC827,5.944281,LUAD,5.527743
45,CPI-637,HCC827,6.23381,LUAD,5.15389
46,CZC24832,HCC827,5.523252,LUAD,5.534224
47,Camptothecin,HCC827,-0.321596,LUAD,-0.801389
48,Carmustine,HCC827,7.419218,LUAD,6.639975
49,Cediranib,HCC827,0.034428,LUAD,2.275009
50,Cisplatin,HCC827,4.559979,LUAD,4.476831
51,Crizotinib,HCC827,3.554618,LUAD,3.750266
