,drug,cell_line,IC50,prediction
0,5-Fluorouracil,PC14,4.138791099,5.553128
1,5-azacytidine,PC14,2.782367888,4.122593
2,A-366,PC14,4.651003044,5.387908
3,ABT737,PC14,2.341567767,2.97436
4,AGI-5198,PC14,5.232587821,5.08898
5,AGI-6780,PC14,5.228069346,4.854583
6,AGK2,PC14,3.164391592,3.404567
7,AMG-319,PC14,5.707738686,5.601388
8,AT13148,PC14,3.42325281,4.450106
9,AZ6102,PC14,2.563613441,2.933006
10,AZ960,PC14,0.918030716,2.463776
11,AZD1208,PC14,6.797541193,5.700076
12,AZD1332,PC14,6.078735014,4.2718
13,AZD2014,PC14,1.202671368,2.345916
14,AZD3759,PC14,-2.405717218,2.339432
15,AZD4547,PC14,3.271007261,3.663888
16,AZD5153,PC14,2.617015759,1.990546
17,AZD5363,PC14,2.547059623,3.174696
18,AZD5438,PC14,3.039001664,2.466031
19,AZD5582,PC14,1.962066484,1.93081
20,AZD5991,PC14,7.420581492,5.996363
21,AZD6482,PC14,4.239958554,4.555954
22,AZD6738,PC14,0.899933597,2.268927
23,AZD7762,PC14,-1.078448517,0.088702
24,AZD8055,PC14,-0.514323297,-0.195246
25,AZD8186,PC14,3.333334768,3.48826
26,Acetalax,PC14,5.398282261,4.359172
27,Afatinib,PC14,-3.530785312,0.905006
28,Afuresertib,PC14,2.237579577,2.9468
29,Alisertib,PC14,0.913914696,2.243111
30,Alpelisib,PC14,3.652978818,3.90093
31,Avagacestat,PC14,5.539422526,5.366293
32,Axitinib,PC14,3.24982493,3.68683
33,BI-2536,PC14,-2.902347916,-1.268381
34,BIBR-1532,PC14,6.257053282,5.515507
35,BMS-345541,PC14,2.735977732,4.029408
36,BMS-536924,PC14,1.12139537,2.330837
37,BMS-754807,PC14,3.205968827,3.396965
38,BX795,PC14,2.470234975,3.455052
39,Bicalutamide,PC14,5.698914914,5.277124
40,Bleomycin,PC14,1.885851938,3.760235
41,Bleomycin (50 uM),PC14,1.352583908,3.796903
42,Bortezomib,PC14,-4.628623786,-5.169436
43,Bosutinib,PC14,-0.704708868,3.172901
44,Bromosporine,PC14,3.939280766,2.55362
45,Buparlisib,PC14,0.876990331,0.936952
46,CCT-018159,PC14,1.809902727,4.413341
47,CCT007093,PC14,5.420619003,5.611175
