,drug,cell_line,IC50,prediction
0,IWP-2,22RV1,4.03620347,3.3095
1,Doramapimod,22RV1,6.475129424,6.21365
2,Podophyllotoxin bromide,22RV1,-0.355126514,-0.698705
3,GNE-317,22RV1,-0.169999524,-0.360269
4,Schweinfurthin A,22RV1,1.454677169,3.021544
5,Picolinici-acid,22RV1,6.430491008,5.451667
6,Crizotinib,22RV1,2.502973019,2.465295
7,Cediranib,22RV1,2.109624718,2.304645
8,JNK Inhibitor VIII,22RV1,6.414184847,5.858437
9,SCH772984,22RV1,3.056804669,3.50966
10,PFI-1,22RV1,3.564365804,4.342275
11,BMS-754807,22RV1,2.273742738,2.560333
12,Daporinad,22RV1,-3.112783708,-4.332715
13,Entinostat,22RV1,1.987386848,2.834338
14,WIKI4,22RV1,4.876027673,4.582911
15,AZD5582,22RV1,2.402948602,3.179241
16,YK-4-279,22RV1,2.770574191,2.684806
17,VE821,22RV1,6.013336217,4.476196
18,SB216763,22RV1,5.831496756,6.052264
19,BMS-345541,2313287,1.656375855,2.194791
20,LY2109761,2313287,5.450591225,5.053497
21,Foretinib,2313287,1.257734015,0.974425
22,MIRA-1,2313287,5.158626786,5.066072
23,IWP-2,2313287,3.052354603,2.818243
24,Olaparib,2313287,4.566102272,4.336017
25,MK-1775,2313287,-0.256284394,0.480646
26,AGI-6780,2313287,5.095646136,4.264748
27,Pictilisib,2313287,-0.396881887,0.109477
28,CZC24832,2313287,4.370623157,5.057198
29,Gallibiscoquinazole,2313287,2.094835589,2.688181
30,BI-2536,2313287,-2.982427093,-1.017934
31,LGK974,2313287,4.003137877,4.518394
32,PD173074,2313287,4.429553967,3.023988
33,JQ1,2313287,4.865213988,1.897568
34,KU-55933,2313287,5.581812821,4.839934
35,Pyridostatin,2313287,2.543120902,2.715595
36,BMS-754807,2313287,5.156277878,3.107941
37,RVX-208,2313287,4.242455291,4.682722
38,OSI-027,42MGBA,3.473819094,2.396269
39,EHT-1864,42MGBA,4.456416059,3.86352
40,MK-2206,42MGBA,1.484758239,2.146441
41,ML323,42MGBA,4.757731851,4.604247
42,Talazoparib,42MGBA,1.730878787,1.093856
43,AZD5153,42MGBA,0.809972863,1.816958
44,MIRA-1,42MGBA,5.027174297,4.869353
45,AGI-5198,42MGBA,4.675809893,4.597517
46,Nilotinib,42MGBA,1.981260534,3.765402
47,Obatoclax Mesylate,42MGBA,-0.244292071,0.360867
48,AZD2014,42MGBA,0.590397135,1.727429
49,PRIMA-1MET,42MGBA,5.835447707,4.065319
50,GSK2110183B,42MGBA,1.291286157,2.236011
51,Mirin,42MGBA,3.97904156,4.244644
52,UMI-77,42MGBA,2.958389741,2.85784
53,AZD3759,42MGBA,2.929658162,2.803457
54,I-BET-762,42MGBA,3.274632651,2.712335
55,AZD1332,42MGBA,2.00194875,1.709133
56,AZD8055,42MGBA,-1.172429188,-1.137741
57,L-Oxonoreleagnine,5637,3.724792261,3.195951
58,Topotecan,5637,-0.574155325,0.069505
59,SN-38,5637,-4.537336523,-3.484331
60,Ulixertinib,5637,2.780808959,2.324642
61,BMS-754807,5637,1.665761531,1.584751
62,Bortezomib,5637,-5.057752664,-4.952046
63,LJI308,5637,5.417476532,4.985598
64,AZD5991,5637,5.820345479,5.672911
65,AZD5153,5637,2.46612734,1.744935
66,SB216763,5637,4.869955119,5.088314
67,OF-1,5637,4.316373122,4.412888
68,Dacarbazine,5637,4.543158896,5.731232
69,Picolinici-acid,5637,4.481904872,5.011481
70,AZD6738,5637,2.027116543,2.396035
71,Motesanib,5637,5.823757584,5.645077
72,Nelarabine,5637,6.095601399,6.058435
73,Irinotecan,5637,2.161042252,2.234042
74,Doramapimod,5637,5.200057781,5.34458
75,Pictilisib,5637,1.436847815,1.422968
