,drug,cell_line,IC50,OncotreeCode,prediction
0,5-Fluorouracil,OPM2,3.454205,PCM,3.952095
1,5-azacytidine,OPM2,1.412405,PCM,2.749427
2,A-366,OPM2,3.899873,PCM,4.094731
3,ABT737,OPM2,1.208203,PCM,-0.061461
4,AGI-5198,OPM2,3.522023,PCM,4.468616
5,AGI-6780,OPM2,3.788475,PCM,3.480336
6,AGK2,OPM2,2.446377,PCM,2.649517
7,AMG-319,OPM2,4.601831,PCM,4.633435
8,AT13148,OPM2,2.147748,PCM,2.406878
9,AZ6102,OPM2,1.98413,PCM,2.228487
10,AZ960,OPM2,-0.00282,PCM,1.303017
11,AZD1208,OPM2,4.601831,PCM,4.537187
12,AZD1332,OPM2,0.953965,PCM,3.82423
13,AZD2014,OPM2,-0.372368,PCM,1.578822
14,AZD3759,OPM2,1.458643,PCM,2.419763
15,AZD4547,OPM2,-1.251792,PCM,1.927357
16,AZD5153,OPM2,-3.170036,PCM,-0.351099
17,AZD5363,OPM2,0.826557,PCM,1.86958
18,AZD5438,OPM2,0.506596,PCM,1.37839
19,AZD5582,OPM2,1.873079,PCM,1.020033
20,AZD5991,OPM2,-3.051117,PCM,-0.764625
21,AZD6738,OPM2,1.134841,PCM,1.488053
22,AZD7762,OPM2,-1.230775,PCM,-0.73138
23,AZD8055,OPM2,-2.233541,PCM,-0.624499
24,AZD8186,OPM2,4.154317,PCM,2.996737
25,Acetalax,OPM2,5.118468,PCM,4.757725
26,Afatinib,OPM2,1.778145,PCM,1.004048
27,Afuresertib,OPM2,-0.042964,PCM,0.810472
28,Alisertib,OPM2,-0.404305,PCM,0.695312
29,Alpelisib,OPM2,2.638413,PCM,2.588357
30,Avagacestat,OPM2,4.11361,PCM,4.275678
31,Axitinib,OPM2,1.248727,PCM,1.767719
32,BI-2536,OPM2,-4.853847,PCM,-3.580695
33,BIBR-1532,OPM2,4.583457,PCM,4.330985
34,BMS-345541,OPM2,1.992539,PCM,2.336218
35,BMS-536924,OPM2,-0.64021,PCM,1.576159
36,BMS-754807,OPM2,-0.849515,PCM,1.328895
37,Bleomycin,OPM2,2.583333,PCM,3.162759
38,Bleomycin (50 uM),OPM2,4.85527,PCM,3.183593
39,Bortezomib,OPM2,-5.630687,PCM,-5.602371
40,Bosutinib,OPM2,1.15148,PCM,1.449828
41,Bromosporine,OPM2,-0.088631,PCM,1.62583
42,Buparlisib,OPM2,0.559263,PCM,0.555983
43,CCT007093,OPM2,4.352016,PCM,4.292885
44,CPI-637,OPM2,0.758976,PCM,2.712547
45,CZC24832,OPM2,4.403091,PCM,4.842658
46,Camptothecin,OPM2,-2.500271,PCM,-2.306059
47,Carmustine,OPM2,5.700444,PCM,5.46544
48,Cediranib,OPM2,-0.018775,PCM,1.335793
49,Cisplatin,OPM2,1.770413,PCM,2.11247
50,Crizotinib,OPM2,0.992639,PCM,1.295619
51,Cyclophosphamide,OPM2,4.601742,PCM,4.750298
52,Cytarabine,OPM2,0.420702,PCM,1.712342
53,Dabrafenib,OPM2,3.27401,PCM,4.191853
54,Dacarbazine,OPM2,3.888655,PCM,4.782766
55,Dactinomycin,OPM2,-4.608976,PCM,-4.624975
56,Dactolisib,OPM2,-3.593117,PCM,-2.682946
57,Daporinad,OPM2,-5.123417,PCM,-5.896778
58,Dasatinib,OPM2,1.278635,PCM,2.24297
59,Dihydrorotenone,OPM2,0.44955,PCM,-0.694251
60,Dinaciclib,OPM2,-3.767888,PCM,-4.079274
61,Docetaxel,OPM2,-4.089259,PCM,-5.234811
62,Doramapimod,OPM2,3.858415,PCM,4.747389
63,EHT-1864,OPM2,3.542593,PCM,3.057284
64,EPZ004777,OPM2,4.045858,PCM,4.8991
65,EPZ5676,OPM2,4.443691,PCM,5.092357
66,Elephantin,OPM2,1.806654,PCM,2.477295
67,Entinostat,OPM2,0.525157,PCM,0.789001
68,Entospletinib,OPM2,3.029222,PCM,3.167827
69,Epirubicin,OPM2,-1.498083,PCM,-1.466389
70,Erlotinib,OPM2,2.292839,PCM,2.298989
71,Fludarabine,OPM2,3.893629,PCM,3.975734
72,Foretinib,OPM2,-0.029525,PCM,0.215645
73,Fulvestrant,OPM2,3.227639,PCM,3.135675
74,GDC0810,OPM2,4.051211,PCM,4.533602
75,GSK-LSD1,OPM2,1.645532,PCM,2.398334
76,GSK1904529A,OPM2,3.681037,PCM,4.068706
77,GSK2110183B,OPM2,0.947124,PCM,1.416144
78,GSK2578215A,OPM2,4.601786,PCM,4.375719
79,GSK2606414,OPM2,4.599823,PCM,2.550791
80,GSK2801,OPM2,3.583448,PCM,4.231929
81,GSK2830371,OPM2,4.546542,PCM,4.989722
82,GSK343,OPM2,2.963512,PCM,2.93329
83,GSK591,OPM2,4.435578,PCM,4.181462
84,GW441756,OPM2,2.991534,PCM,2.832882
85,Gallibiscoquinazole,OPM2,2.087107,PCM,2.326328
86,Gefitinib,OPM2,2.807801,PCM,2.873603
87,Gemcitabine,OPM2,-1.162171,PCM,0.246067
88,I-BET-762,OPM2,-0.038568,PCM,1.909443
89,I-BRD9,OPM2,2.07693,PCM,3.449376
90,ICL-SIRT078,OPM2,3.999134,PCM,2.909151
91,IWP-2,OPM2,2.090962,PCM,2.435498
92,Ibrutinib,OPM2,3.098331,PCM,4.123491
93,Ipatasertib,OPM2,1.469871,PCM,2.099797
94,Irinotecan,OPM2,1.929213,PCM,2.301169
95,JNK Inhibitor VIII,OPM2,3.329371,PCM,4.909571
96,JQ1,OPM2,-2.393186,PCM,-0.118885
97,KRAS (G12C) Inhibitor-12,OPM2,3.361321,PCM,3.871818
98,KU-55933,OPM2,3.36957,PCM,4.364347
99,L-Oxonoreleagnine,OPM2,3.273004,PCM,3.184827
100,LCL161,OPM2,4.342094,PCM,4.539647
101,LGK974,OPM2,3.134648,PCM,3.482047
102,LJI308,OPM2,4.342645,PCM,4.551562
103,LMP744,OPM2,-2.414768,PCM,-1.044326
