"",drug,cell_line,IC50,OncotreeCode
1188,5-Fluorouracil,HCC827,5.191741,LUAD
1189,5-azacytidine,HCC827,3.595454,LUAD
1190,A-366,HCC827,6.028838,LUAD
1191,ABT737,HCC827,4.389625,LUAD
1192,AGI-5198,HCC827,5.698307,LUAD
1193,AGI-6780,HCC827,5.258638,LUAD
1194,AGK2,HCC827,4.342128,LUAD
1195,AMG-319,HCC827,4.792711,LUAD
1196,AT13148,HCC827,3.666321,LUAD
1197,AZ6102,HCC827,2.748640,LUAD
1198,AZ960,HCC827,5.047218,LUAD
1199,AZD1208,HCC827,5.791158,LUAD
1200,AZD1332,HCC827,6.636518,LUAD
1201,AZD2014,HCC827,3.100172,LUAD
1202,AZD3759,HCC827,-2.602837,LUAD
1203,AZD4547,HCC827,3.380675,LUAD
1204,AZD5153,HCC827,2.843574,LUAD
1205,AZD5363,HCC827,4.219376,LUAD
1206,AZD5438,HCC827,2.575397,LUAD
1207,AZD5582,HCC827,2.972299,LUAD
1208,AZD5991,HCC827,6.679560,LUAD
1209,AZD6738,HCC827,2.491286,LUAD
1210,AZD7762,HCC827,-0.259637,LUAD
1211,AZD8055,HCC827,0.206460,LUAD
1212,AZD8186,HCC827,2.968449,LUAD
1213,Acetalax,HCC827,7.429243,LUAD
1214,Afatinib,HCC827,-3.935928,LUAD
1215,Afuresertib,HCC827,4.136904,LUAD
1216,Alisertib,HCC827,2.581718,LUAD
1217,Alpelisib,HCC827,4.250128,LUAD
1218,Avagacestat,HCC827,5.974605,LUAD
1219,Axitinib,HCC827,4.678995,LUAD
1220,BI-2536,HCC827,-0.024598,LUAD
1221,BIBR-1532,HCC827,5.171032,LUAD
1222,BMS-345541,HCC827,4.410972,LUAD
1223,BMS-536924,HCC827,2.067005,LUAD
1224,BMS-754807,HCC827,4.120546,LUAD
1225,Bleomycin,HCC827,2.310292,LUAD
1226,Bleomycin (50 uM),HCC827,4.117045,LUAD
1227,Bortezomib,HCC827,-4.751015,LUAD
1228,Bosutinib,HCC827,-0.149514,LUAD
1229,Bromosporine,HCC827,3.584292,LUAD
1230,Buparlisib,HCC827,1.703575,LUAD
1231,CCT007093,HCC827,5.944281,LUAD
1232,CPI-637,HCC827,6.233810,LUAD
1233,CZC24832,HCC827,5.523252,LUAD
1234,Camptothecin,HCC827,-0.321596,LUAD
1235,Carmustine,HCC827,7.419218,LUAD
1236,Cediranib,HCC827,0.034428,LUAD
1237,Cisplatin,HCC827,4.559979,LUAD
1238,Crizotinib,HCC827,3.554618,LUAD
1239,Cyclophosphamide,HCC827,7.068307,LUAD
1240,Cytarabine,HCC827,2.259540,LUAD
1241,Dabrafenib,HCC827,6.494942,LUAD
1242,Dacarbazine,HCC827,6.797071,LUAD
1243,Dactinomycin,HCC827,-3.509835,LUAD
1244,Dactolisib,HCC827,-0.743924,LUAD
1245,Dasatinib,HCC827,-1.569385,LUAD
1246,Dihydrorotenone,HCC827,1.926909,LUAD
1247,Dinaciclib,HCC827,-3.045723,LUAD
1248,Docetaxel,HCC827,-0.806449,LUAD
1249,Doramapimod,HCC827,6.395796,LUAD
1250,EHT-1864,HCC827,4.657623,LUAD
1251,EPZ004777,HCC827,5.774092,LUAD
1252,EPZ5676,HCC827,5.850756,LUAD
1253,Elephantin,HCC827,4.114890,LUAD
1254,Entinostat,HCC827,-0.061344,LUAD
1255,Entospletinib,HCC827,5.248491,LUAD
1256,Epirubicin,HCC827,0.302015,LUAD
1257,Erlotinib,HCC827,-2.707414,LUAD
1258,Fludarabine,HCC827,5.613852,LUAD
1259,Foretinib,HCC827,1.215347,LUAD
1260,Fulvestrant,HCC827,4.347685,LUAD
1261,GDC0810,HCC827,6.591395,LUAD
1262,GNE-317,HCC827,0.670109,LUAD
1263,GSK-LSD1,HCC827,2.091152,LUAD
1264,GSK1904529A,HCC827,4.790134,LUAD
1265,GSK2110183B,HCC827,5.438623,LUAD
1266,GSK2578215A,HCC827,6.097336,LUAD
1267,GSK2606414,HCC827,3.852861,LUAD
1268,GSK2801,HCC827,5.478945,LUAD
1269,GSK2830371,HCC827,6.682668,LUAD
1270,GSK343,HCC827,3.689302,LUAD
1271,GSK591,HCC827,4.344956,LUAD
1272,GW441756,HCC827,4.333161,LUAD
1273,Gallibiscoquinazole,HCC827,2.816217,LUAD
1274,Gefitinib,HCC827,-2.738697,LUAD
1275,Gemcitabine,HCC827,2.488382,LUAD
1276,I-BET-762,HCC827,4.108792,LUAD
1277,I-BRD9,HCC827,7.025837,LUAD
1278,ICL-SIRT078,HCC827,3.587875,LUAD
1279,IWP-2,HCC827,1.912871,LUAD
1280,Ibrutinib,HCC827,4.930049,LUAD
1281,Ipatasertib,HCC827,4.428936,LUAD
1282,Irinotecan,HCC827,4.133260,LUAD
1283,JNK Inhibitor VIII,HCC827,6.470210,LUAD
1284,JQ1,HCC827,3.797048,LUAD
1285,KRAS (G12C) Inhibitor-12,HCC827,5.936296,LUAD
1286,KU-55933,HCC827,6.402763,LUAD
1287,L-Oxonoreleagnine,HCC827,3.925418,LUAD
1288,LCL161,HCC827,4.128870,LUAD
1289,LGK974,HCC827,4.241947,LUAD
1290,LJI308,HCC827,6.178287,LUAD
1291,LMP744,HCC827,2.670692,LUAD
1292,LY2109761,HCC827,5.333651,LUAD
1293,Lapatinib,HCC827,1.139135,LUAD
1294,Leflunomide,HCC827,5.431557,LUAD
1295,Lenalidomide,HCC827,6.196843,LUAD
1296,Lestaurtinib,HCC827,0.150939,LUAD
1297,Linsitinib,HCC827,5.207676,LUAD
1298,Luminespib,HCC827,-1.178819,LUAD
1299,MG-132,HCC827,-1.488899,LUAD
1300,MIM1,HCC827,5.005143,LUAD
1301,MIRA-1,HCC827,7.490160,LUAD
1302,MK-1775,HCC827,0.629055,LUAD
1303,MK-2206,HCC827,3.571288,LUAD
1304,MK-8776,HCC827,2.227803,LUAD
1305,ML323,HCC827,5.843242,LUAD
1306,MN-64,HCC827,5.909207,LUAD
1307,Methotrexate,HCC827,-0.163374,LUAD
1308,Mirin,HCC827,4.332144,LUAD
1309,Mitoxantrone,HCC827,2.183763,LUAD
1310,Motesanib,HCC827,6.600753,LUAD
1311,Mycophenolic acid,HCC827,3.430300,LUAD
1312,N-acetyl cysteine,HCC827,10.735992,LUAD
1313,NU7441,HCC827,3.533807,LUAD
1314,NVP-ADW742,HCC827,3.899977,LUAD
1315,Navitoclax,HCC827,3.326192,LUAD
1316,Nelarabine,HCC827,7.272017,LUAD
1317,Nilotinib,HCC827,5.265869,LUAD
1318,Niraparib,HCC827,5.389704,LUAD
1319,Nutlin-3a (-),HCC827,6.196977,LUAD
1320,OF-1,HCC827,3.666942,LUAD
1321,OSI-027,HCC827,2.338258,LUAD
1322,OTX015,HCC827,6.368497,LUAD
1323,Obatoclax Mesylate,HCC827,0.214271,LUAD
1324,Olaparib,HCC827,4.128216,LUAD
1325,Osimertinib,HCC827,-3.593735,LUAD
1326,Oxaliplatin,HCC827,5.573582,LUAD
1327,P22077,HCC827,3.348494,LUAD
1328,PCI-34051,HCC827,6.527695,LUAD
1329,PD0325901,HCC827,3.312647,LUAD
1330,PD173074,HCC827,4.979329,LUAD
1331,PFI-1,HCC827,4.923893,LUAD
1332,PFI3,HCC827,6.165112,LUAD
1333,PLX-4720,HCC827,3.303863,LUAD
1334,POMHEX,HCC827,1.099971,LUAD
1335,PRIMA-1MET,HCC827,6.004583,LUAD
1336,PRT062607,HCC827,4.610552,LUAD
1337,Paclitaxel,HCC827,-0.057143,LUAD
1338,Palbociclib,HCC827,6.131633,LUAD
1339,Pevonedistat,HCC827,2.320720,LUAD
1340,Picolinici-acid,HCC827,5.621263,LUAD
1341,Pictilisib,HCC827,1.080641,LUAD
1342,Podophyllotoxin bromide,HCC827,-0.434334,LUAD
1343,Pyridostatin,HCC827,3.318982,LUAD
1344,RO-3306,HCC827,6.559052,LUAD
1345,RVX-208,HCC827,6.349175,LUAD
1346,Rapamycin,HCC827,0.070963,LUAD
1347,Refametinib,HCC827,2.633088,LUAD
1348,Remodelin,HCC827,5.244314,LUAD
1349,Ribociclib,HCC827,5.297790,LUAD
1350,Romidepsin,HCC827,-5.808266,LUAD
1351,Rucaparib,HCC827,3.376308,LUAD
1352,Ruxolitinib,HCC827,3.707325,LUAD
1353,SB216763,HCC827,5.519993,LUAD
1354,SB590885,HCC827,5.632307,LUAD
1355,SCH772984,HCC827,1.519828,LUAD
1356,SGC-CBP30,HCC827,5.630287,LUAD
1357,SGC0946,HCC827,2.557969,LUAD
1358,SN-38,HCC827,-0.430806,LUAD
1359,Sabutoclax,HCC827,-1.225513,LUAD
1360,Savolitinib,HCC827,4.425659,LUAD
1361,Schweinfurthin A,HCC827,4.285297,LUAD
1362,Selumetinib,HCC827,3.196617,LUAD
1363,Sepantronium bromide,HCC827,-4.616246,LUAD
1364,Serdemetan,HCC827,3.948380,LUAD
1365,Sinularin,HCC827,3.103045,LUAD
1366,Sorafenib,HCC827,3.868251,LUAD
1367,Staurosporine,HCC827,-1.467606,LUAD
1368,Talazoparib,HCC827,5.426588,LUAD
1369,Tamoxifen,HCC827,4.133604,LUAD
1370,Tanespimycin,HCC827,1.484273,LUAD
1371,Taselisib,HCC827,1.636005,LUAD
1372,Telomerase Inhibitor IX,HCC827,2.288275,LUAD
1373,Temozolomide,HCC827,7.065678,LUAD
1374,Temsirolimus,HCC827,1.814163,LUAD
1375,Teniposide,HCC827,2.526709,LUAD
1376,Topotecan,HCC827,1.380730,LUAD
1377,Trametinib,HCC827,2.250742,LUAD
1378,UMI-77,HCC827,3.498521,LUAD
1379,UNC0379,HCC827,3.765204,LUAD
1380,UNC0638,HCC827,5.298255,LUAD
1381,Ulixertinib,HCC827,4.952170,LUAD
1382,Uprosertib,HCC827,4.478582,LUAD
1383,VE-822,HCC827,5.554657,LUAD
1384,VE821,HCC827,3.082994,LUAD
1385,VX-11e,HCC827,2.985633,LUAD
1386,Veliparib,HCC827,6.252406,LUAD
1387,Venetoclax,HCC827,4.727563,LUAD
1388,Vinblastine,HCC827,-1.382337,LUAD
1389,Vincristine,HCC827,-2.032066,LUAD
1390,Vinorelbine,HCC827,-1.832171,LUAD
1391,Vismodegib,HCC827,6.367726,LUAD
1392,Vorinostat,HCC827,2.554634,LUAD
1393,WEHI-539,HCC827,4.807175,LUAD
1394,WIKI4,HCC827,4.142310,LUAD
1395,WZ4003,HCC827,3.106007,LUAD
1396,Wee1 Inhibitor,HCC827,2.799336,LUAD
1397,Wnt-C59,HCC827,3.909002,LUAD
1398,XAV939,HCC827,3.172621,LUAD
1399,YK-4-279,HCC827,4.201303,LUAD
1400,ZM447439,HCC827,3.100615,LUAD
1401,Zoledronate,HCC827,4.979429,LUAD
1402,alpha-lipoic acid,HCC827,9.101132,LUAD
1403,glutathione,HCC827,10.396620,LUAD
1404,5-Fluorouracil,NCIH1581,4.860801,LCLC
1405,5-azacytidine,NCIH1581,1.765969,LCLC
1406,A-366,NCIH1581,5.027511,LCLC
1407,ABT737,NCIH1581,2.204664,LCLC
1408,AGI-5198,NCIH1581,4.544446,LCLC
1409,AGI-6780,NCIH1581,2.235708,LCLC
1410,AGK2,NCIH1581,3.445968,LCLC
1411,AMG-319,NCIH1581,5.030541,LCLC
1412,AT13148,NCIH1581,4.575951,LCLC
1413,AZ6102,NCIH1581,3.013069,LCLC
1414,AZ960,NCIH1581,0.594892,LCLC
1415,AZD1208,NCIH1581,4.481184,LCLC
1416,AZD1332,NCIH1581,0.680497,LCLC
1417,AZD2014,NCIH1581,0.204859,LCLC
1418,AZD3759,NCIH1581,3.086081,LCLC
1419,AZD4547,NCIH1581,-0.747999,LCLC
1420,AZD5153,NCIH1581,2.750469,LCLC
1421,AZD5363,NCIH1581,3.832049,LCLC
1422,AZD5438,NCIH1581,2.016102,LCLC
1423,AZD5582,NCIH1581,1.405270,LCLC
1424,AZD5991,NCIH1581,-1.133650,LCLC
1425,AZD6738,NCIH1581,2.361655,LCLC
1426,AZD7762,NCIH1581,0.716780,LCLC
1427,AZD8055,NCIH1581,-0.644606,LCLC
1428,AZD8186,NCIH1581,5.258966,LCLC
1429,Acetalax,NCIH1581,3.101016,LCLC
1430,Afatinib,NCIH1581,1.950003,LCLC
1431,Afuresertib,NCIH1581,3.701037,LCLC
1432,Alisertib,NCIH1581,-0.102237,LCLC
1433,Alpelisib,NCIH1581,4.740599,LCLC
1434,Avagacestat,NCIH1581,4.817899,LCLC
1435,Axitinib,NCIH1581,1.365925,LCLC
1436,BI-2536,NCIH1581,-4.569840,LCLC
1437,BIBR-1532,NCIH1581,5.265635,LCLC
1438,BMS-345541,NCIH1581,3.712784,LCLC
1439,BMS-536924,NCIH1581,2.218098,LCLC
1440,BMS-754807,NCIH1581,1.786625,LCLC
1441,Bleomycin,NCIH1581,3.710944,LCLC
1442,Bleomycin (50 uM),NCIH1581,3.203893,LCLC
1443,Bortezomib,NCIH1581,-4.376494,LCLC
1444,Bosutinib,NCIH1581,3.127822,LCLC
1445,Bromosporine,NCIH1581,1.746688,LCLC
1446,Buparlisib,NCIH1581,0.712241,LCLC
1447,CCT007093,NCIH1581,4.819506,LCLC
1448,CPI-637,NCIH1581,3.667258,LCLC
1449,CZC24832,NCIH1581,4.759647,LCLC
1450,Camptothecin,NCIH1581,-2.025838,LCLC
1451,Carmustine,NCIH1581,6.130773,LCLC
1452,Cediranib,NCIH1581,1.095792,LCLC
1453,Cisplatin,NCIH1581,3.963241,LCLC
1454,Crizotinib,NCIH1581,3.008991,LCLC
1455,Cyclophosphamide,NCIH1581,4.007674,LCLC
1456,Cytarabine,NCIH1581,1.191308,LCLC
