,drug,cell_line,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
0,5-Fluorouracil,NCIH1693,LUAD,6.857719,5-Fluorouracil,4.392229,1.71976,0.536842
1,ABT737,NCIH1693,LUAD,3.165363,ABT737,1.875342,2.053694,0.374888
2,AGI-5198,NCIH1693,LUAD,5.673127,AGI-5198,4.704103,0.907583,-0.187304
3,AGI-6780,NCIH1693,LUAD,6.959928,AGI-6780,4.344912,1.086023,0.078672
4,AGK2,NCIH1693,LUAD,4.260822,AGK2,3.26451,0.926755,-0.020661
5,AZ960,NCIH1693,LUAD,4.534333,AZ960,1.895669,1.724101,0.295102
6,AZD3759,NCIH1693,LUAD,2.065361,AZD3759,2.512182,1.084536,-0.04203
7,AZD4547,NCIH1693,LUAD,4.947988,AZD4547,3.088286,1.600252,0.282027
8,AZD5363,NCIH1693,LUAD,5.25183,AZD5363,2.84782,1.441898,0.624184
9,AZD5582,NCIH1693,LUAD,2.438278,AZD5582,2.157595,2.342092,0.442301
10,AZD6738,NCIH1693,LUAD,4.003892,AZD6738,2.057259,1.461663,0.152825
11,AZD7762,NCIH1693,LUAD,0.956849,AZD7762,0.164435,1.542725,0.145222
12,AZD8186,NCIH1693,LUAD,3.768271,AZD8186,3.134757,1.404232,0.312307
13,Afatinib,NCIH1693,LUAD,0.519923,Afatinib,1.594663,1.481016,0.330689
14,Afuresertib,NCIH1693,LUAD,3.962806,Afuresertib,2.40255,1.471751,0.753692
15,Alpelisib,NCIH1693,LUAD,6.358182,Alpelisib,3.451086,1.407226,0.760156
16,Avagacestat,NCIH1693,LUAD,5.543193,Avagacestat,4.759122,1.072116,0.168625
17,Axitinib,NCIH1693,LUAD,5.789535,Axitinib,2.903591,1.677112,0.019709
18,BMS-345541,NCIH1693,LUAD,4.339471,BMS-345541,3.277956,1.320431,0.65001
19,BMS-536924,NCIH1693,LUAD,3.402959,BMS-536924,2.108959,1.381132,0.238616
20,BMS-754807,NCIH1693,LUAD,4.132061,BMS-754807,2.163231,1.99775,0.739875
21,Bortezomib,NCIH1693,LUAD,-5.522091,Bortezomib,-4.739097,1.068388,0.041976
22,Bosutinib,NCIH1693,LUAD,3.640851,Bosutinib,2.618644,1.532012,0.369318
23,Buparlisib,NCIH1693,LUAD,1.572614,Buparlisib,1.132283,0.942456,0.348998
24,CCT007093,NCIH1693,LUAD,6.207679,CCT007093,5.191327,0.862412,-0.32092
25,CZC24832,NCIH1693,LUAD,7.212281,CZC24832,5.137594,0.949818,0.015052
26,Camptothecin,NCIH1693,LUAD,0.129242,Camptothecin,-2.257481,1.838996,0.09064
27,Cediranib,NCIH1693,LUAD,2.112438,Cediranib,2.271131,1.192376,0.159357
28,Crizotinib,NCIH1693,LUAD,4.594325,Crizotinib,2.560661,1.510603,0.775031
29,Cyclophosphamide,NCIH1693,LUAD,5.787762,Cyclophosphamide,5.25922,0.888712,-0.003252
30,Dactinomycin,NCIH1693,LUAD,-1.708435,Dactinomycin,-3.772788,1.88294,0.446983
31,Dactolisib,NCIH1693,LUAD,-1.435943,Dactolisib,-1.510724,1.429786,-0.186459
32,Dasatinib,NCIH1693,LUAD,0.409743,Dasatinib,1.287237,2.324073,-0.465458
33,Dinaciclib,NCIH1693,LUAD,0.925479,Dinaciclib,-2.654463,1.473357,-0.118603
34,Docetaxel,NCIH1693,LUAD,0.961586,Docetaxel,-3.417161,2.548602,-0.222322
35,Doramapimod,NCIH1693,LUAD,7.046798,Doramapimod,4.93907,1.188278,0.166708
36,EHT-1864,NCIH1693,LUAD,4.469059,EHT-1864,3.678237,0.983429,-0.122365
37,EPZ004777,NCIH1693,LUAD,6.674542,EPZ004777,5.153416,0.977035,0.633369
38,EPZ5676,NCIH1693,LUAD,7.583473,EPZ5676,5.542946,1.028703,0.499096
39,Entinostat,NCIH1693,LUAD,4.408071,Entinostat,2.030317,1.637052,0.14954
40,Entospletinib,NCIH1693,LUAD,6.864816,Entospletinib,3.672838,1.222475,0.24134
41,Epirubicin,NCIH1693,LUAD,0.526788,Epirubicin,-0.852455,1.690941,0.38267
42,Erlotinib,NCIH1693,LUAD,1.934091,Erlotinib,2.979885,1.448855,-0.3951
43,Fulvestrant,NCIH1693,LUAD,5.214008,Fulvestrant,3.730929,1.263247,-0.098783
44,GDC0810,NCIH1693,LUAD,6.383271,GDC0810,5.087362,0.94553,-0.155137
45,GNE-317,NCIH1693,LUAD,0.449021,GNE-317,0.681846,1.302066,0.551621
46,GSK1904529A,NCIH1693,LUAD,4.725383,GSK1904529A,4.348623,1.104047,0.04481
47,GSK2578215A,NCIH1693,LUAD,6.486628,GSK2578215A,4.933854,0.966128,-0.197911
48,GSK2606414,NCIH1693,LUAD,6.344987,GSK2606414,3.785602,1.215971,0.181841
49,GSK343,NCIH1693,LUAD,4.879343,GSK343,3.602119,1.367117,0.290234
50,GW441756,NCIH1693,LUAD,3.228747,GW441756,3.441226,0.92854,-0.21947
51,Gefitinib,NCIH1693,LUAD,2.784091,Gefitinib,3.147493,1.212598,0.019443
52,Gemcitabine,NCIH1693,LUAD,2.040636,Gemcitabine,-0.766782,3.010521,0.577866
53,I-BET-762,NCIH1693,LUAD,6.685769,I-BET-762,3.178213,1.581827,0.673342
54,I-BRD9,NCIH1693,LUAD,6.075482,I-BRD9,4.358221,1.274025,0.242898
55,IWP-2,NCIH1693,LUAD,4.664358,IWP-2,2.870543,0.89695,-0.14685
56,Ibrutinib,NCIH1693,LUAD,4.990543,Ibrutinib,4.055961,1.812726,0.44383
57,Ipatasertib,NCIH1693,LUAD,4.813252,Ipatasertib,3.403906,1.455375,0.553466
58,Irinotecan,NCIH1693,LUAD,4.40984,Irinotecan,2.49049,1.934295,0.715202
59,JNK Inhibitor VIII,NCIH1693,LUAD,6.548024,JNK Inhibitor VIII,5.096918,0.961142,-0.216096
60,JQ1,NCIH1693,LUAD,4.445986,JQ1,2.025591,1.952515,0.682783
61,KRAS (G12C) Inhibitor-12,NCIH1693,LUAD,6.679298,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.442597
62,KU-55933,NCIH1693,LUAD,5.356859,KU-55933,5.04103,1.126742,0.096716
63,LCL161,NCIH1693,LUAD,5.184737,LCL161,4.766877,1.238491,0.113625
64,LGK974,NCIH1693,LUAD,5.104646,LGK974,4.238238,1.107629,-0.491499
65,LY2109761,NCIH1693,LUAD,6.068818,LY2109761,5.00674,1.042965,0.108727
66,Lapatinib,NCIH1693,LUAD,3.240619,Lapatinib,3.219614,1.583425,0.542848
67,Leflunomide,NCIH1693,LUAD,5.191717,Leflunomide,5.037278,0.913415,0.090267
68,Lenalidomide,NCIH1693,LUAD,7.379083,Lenalidomide,5.236581,1.07135,0.284995
69,Lestaurtinib,NCIH1693,LUAD,3.853646,Lestaurtinib,-0.014942,1.617099,0.477414
70,Linsitinib,NCIH1693,LUAD,4.701423,Linsitinib,3.964537,1.322202,0.598634
71,Luminespib,NCIH1693,LUAD,0.246349,Luminespib,-2.12391,1.817546,-0.001054
72,MG-132,NCIH1693,LUAD,-1.702304,MG-132,-1.2843,0.72251,0.264784
73,MIRA-1,NCIH1693,LUAD,6.144568,MIRA-1,5.237632,1.234442,0.229782
74,MK-1775,NCIH1693,LUAD,2.90092,MK-1775,0.636509,1.419839,-0.242678
75,MK-2206,NCIH1693,LUAD,4.08315,MK-2206,2.725214,1.48772,0.72756
76,ML323,NCIH1693,LUAD,7.655454,ML323,4.536112,1.055599,-0.271873
77,MN-64,NCIH1693,LUAD,4.203926,MN-64,4.673443,1.036058,0.057158
78,Mirin,NCIH1693,LUAD,6.12062,Mirin,4.782781,1.183568,0.057711
79,Motesanib,NCIH1693,LUAD,7.401014,Motesanib,5.481288,1.133491,0.180966
80,NU7441,NCIH1693,LUAD,4.364369,NU7441,3.132711,1.343787,0.085359
81,NVP-ADW742,NCIH1693,LUAD,2.756329,NVP-ADW742,2.882258,1.472598,0.695598
82,Navitoclax,NCIH1693,LUAD,5.29714,Navitoclax,1.776309,2.029373,0.122993
83,Nilotinib,NCIH1693,LUAD,6.032194,Nilotinib,3.364192,1.706385,0.137411
84,Niraparib,NCIH1693,LUAD,6.27733,Niraparib,4.113814,1.516015,0.453606
85,Nutlin-3a (-),NCIH1693,LUAD,7.361189,Nutlin-3a (-),4.421065,1.79125,0.519648
86,OF-1,NCIH1693,LUAD,5.009908,OF-1,4.121389,1.170053,-0.460265
87,OSI-027,NCIH1693,LUAD,2.727089,OSI-027,2.584887,1.493868,0.182736
88,OTX015,NCIH1693,LUAD,5.107831,OTX015,2.300635,1.867904,0.261633
89,Olaparib,NCIH1693,LUAD,6.590048,Olaparib,4.229661,1.301754,0.327092
90,Osimertinib,NCIH1693,LUAD,1.107273,Osimertinib,1.653115,1.279752,0.173765
91,Oxaliplatin,NCIH1693,LUAD,7.47092,Oxaliplatin,4.289635,1.783409,0.653791
92,P22077,NCIH1693,LUAD,5.228254,P22077,4.40732,1.512212,0.072485
93,PCI-34051,NCIH1693,LUAD,7.171354,PCI-34051,4.396021,1.286151,-0.069629
94,PD173074,NCIH1693,LUAD,5.010726,PD173074,3.763295,1.405445,0.701467
95,PFI-1,NCIH1693,LUAD,5.801804,PFI-1,4.054494,1.126123,0.192651
96,PFI3,NCIH1693,LUAD,7.241347,PFI3,5.397184,0.841197,-0.112925
97,PLX-4720,NCIH1693,LUAD,7.64202,PLX-4720,4.213301,1.475022,-0.143324
98,PRIMA-1MET,NCIH1693,LUAD,3.077861,PRIMA-1MET,4.41929,1.802017,0.617184
99,PRT062607,NCIH1693,LUAD,5.534206,PRT062607,3.172207,1.396623,0.773662
100,Paclitaxel,NCIH1693,LUAD,1.486637,Paclitaxel,-2.855697,2.01671,-0.345778
