,drug,cell_line,IC50,OncotreeCode,prediction
0,5-Fluorouracil,OPM2,3.454205,PCM,4.356997
1,5-azacytidine,OPM2,1.412405,PCM,2.590406
2,A-366,OPM2,3.899873,PCM,4.762232
3,ABT737,OPM2,1.208203,PCM,0.07226
4,AGI-5198,OPM2,3.522023,PCM,4.091976
5,AGI-6780,OPM2,3.788475,PCM,3.677883
6,AGK2,OPM2,2.446377,PCM,3.052863
7,AMG-319,OPM2,4.601831,PCM,4.685949
8,AT13148,OPM2,2.147748,PCM,3.372025
9,AZ6102,OPM2,1.98413,PCM,2.109136
10,AZ960,OPM2,-0.00282,PCM,1.311827
11,AZD1208,OPM2,4.601831,PCM,4.741666
12,AZD1332,OPM2,0.953965,PCM,4.465593
13,AZD2014,OPM2,-0.372368,PCM,2.378664
14,AZD3759,OPM2,1.458643,PCM,2.744076
15,AZD4547,OPM2,-1.251792,PCM,2.000581
16,AZD5153,OPM2,-3.170036,PCM,0.931625
17,AZD5363,OPM2,0.826557,PCM,2.6886
18,AZD5438,OPM2,0.506596,PCM,1.787203
19,AZD5582,OPM2,1.873079,PCM,1.508577
20,AZD5991,OPM2,-3.051117,PCM,0.305312
21,AZD6738,OPM2,1.134841,PCM,2.054685
22,AZD7762,OPM2,-1.230775,PCM,-0.42769
23,AZD8055,OPM2,-2.233541,PCM,-0.355988
24,AZD8186,OPM2,4.154317,PCM,3.341417
25,Acetalax,OPM2,5.118468,PCM,4.725997
26,Afatinib,OPM2,1.778145,PCM,1.725988
27,Afuresertib,OPM2,-0.042964,PCM,1.985233
28,Alisertib,OPM2,-0.404305,PCM,2.447306
29,Alpelisib,OPM2,2.638413,PCM,3.709064
30,Avagacestat,OPM2,4.11361,PCM,4.45958
31,Axitinib,OPM2,1.248727,PCM,2.534569
32,BI-2536,OPM2,-4.853847,PCM,-2.019899
33,BIBR-1532,OPM2,4.583457,PCM,4.784261
34,BMS-345541,OPM2,1.992539,PCM,2.919578
35,BMS-536924,OPM2,-0.64021,PCM,1.159462
36,BMS-754807,OPM2,-0.849515,PCM,-0.096679
37,Bleomycin,OPM2,2.583333,PCM,3.795423
38,Bleomycin (50 uM),OPM2,4.85527,PCM,3.665434
39,Bortezomib,OPM2,-5.630687,PCM,-5.391957
40,Bosutinib,OPM2,1.15148,PCM,3.049637
41,Bromosporine,OPM2,-0.088631,PCM,1.99219
42,Buparlisib,OPM2,0.559263,PCM,0.985894
43,CCT007093,OPM2,4.352016,PCM,4.698802
44,CPI-637,OPM2,0.758976,PCM,3.010627
45,CZC24832,OPM2,4.403091,PCM,4.937132
46,Camptothecin,OPM2,-2.500271,PCM,-3.027159
47,Carmustine,OPM2,5.700444,PCM,5.748738
48,Cediranib,OPM2,-0.018775,PCM,1.976551
49,Cisplatin,OPM2,1.770413,PCM,3.551486
50,Crizotinib,OPM2,0.992639,PCM,2.244364
51,Cyclophosphamide,OPM2,4.601742,PCM,4.913562
52,Cytarabine,OPM2,0.420702,PCM,1.362645
53,Dabrafenib,OPM2,3.27401,PCM,3.970053
54,Dacarbazine,OPM2,3.888655,PCM,5.404379
55,Dactinomycin,OPM2,-4.608976,PCM,-3.812714
56,Dactolisib,OPM2,-3.593117,PCM,-1.865259
57,Daporinad,OPM2,-5.123417,PCM,-5.421903
58,Dasatinib,OPM2,1.278635,PCM,3.12805
59,Dihydrorotenone,OPM2,0.44955,PCM,-0.769323
60,Dinaciclib,OPM2,-3.767888,PCM,-3.133667
61,Docetaxel,OPM2,-4.089259,PCM,-3.691917
62,Doramapimod,OPM2,3.858415,PCM,4.795131
63,EHT-1864,OPM2,3.542593,PCM,3.269347
64,EPZ004777,OPM2,4.045858,PCM,5.197262
65,EPZ5676,OPM2,4.443691,PCM,5.714513
66,Elephantin,OPM2,1.806654,PCM,3.612103
67,Entinostat,OPM2,0.525157,PCM,1.160509
68,Entospletinib,OPM2,3.029222,PCM,4.436262
69,Epirubicin,OPM2,-1.498083,PCM,-0.694511
70,Erlotinib,OPM2,2.292839,PCM,3.507201
71,Fludarabine,OPM2,3.893629,PCM,4.072119
72,Foretinib,OPM2,-0.029525,PCM,1.055625
73,Fulvestrant,OPM2,3.227639,PCM,3.49312
74,GDC0810,OPM2,4.051211,PCM,4.657892
75,GSK-LSD1,OPM2,1.645532,PCM,2.346613
76,GSK1904529A,OPM2,3.681037,PCM,4.347362
77,GSK2110183B,OPM2,0.947124,PCM,2.663589
78,GSK2578215A,OPM2,4.601786,PCM,4.542028
79,GSK2606414,OPM2,4.599823,PCM,3.120234
80,GSK2801,OPM2,3.583448,PCM,4.618711
81,GSK2830371,OPM2,4.546542,PCM,4.974706
82,GSK343,OPM2,2.963512,PCM,3.413685
83,GSK591,OPM2,4.435578,PCM,4.369551
84,GW441756,OPM2,2.991534,PCM,3.164374
85,Gallibiscoquinazole,OPM2,2.087107,PCM,2.639477
86,Gefitinib,OPM2,2.807801,PCM,3.52117
87,Gemcitabine,OPM2,-1.162171,PCM,-1.07402
88,I-BET-762,OPM2,-0.038568,PCM,2.798027
89,I-BRD9,OPM2,2.07693,PCM,3.59829
90,ICL-SIRT078,OPM2,3.999134,PCM,3.977212
91,IWP-2,OPM2,2.090962,PCM,2.526817
92,Ibrutinib,OPM2,3.098331,PCM,4.877772
93,Ipatasertib,OPM2,1.469871,PCM,3.529448
94,Irinotecan,OPM2,1.929213,PCM,2.24369
95,JNK Inhibitor VIII,OPM2,3.329371,PCM,5.260891
96,JQ1,OPM2,-2.393186,PCM,1.185381
97,KRAS (G12C) Inhibitor-12,OPM2,3.361321,PCM,4.334614
98,KU-55933,OPM2,3.36957,PCM,4.656969
99,L-Oxonoreleagnine,OPM2,3.273004,PCM,3.392632
100,LCL161,OPM2,4.342094,PCM,4.929166
101,LGK974,OPM2,3.134648,PCM,3.815515
102,LJI308,OPM2,4.342645,PCM,4.925943
103,LMP744,OPM2,-2.414768,PCM,0.302341
104,LY2109761,OPM2,4.601164,PCM,4.845395
105,Lapatinib,OPM2,2.440101,PCM,3.965591
106,Leflunomide,OPM2,4.636829,PCM,4.68083
107,Lenalidomide,OPM2,3.055947,PCM,4.617178
108,Lestaurtinib,OPM2,-1.777917,PCM,-0.261428
109,Linsitinib,OPM2,1.384684,PCM,1.445809
110,Luminespib,OPM2,-3.424315,PCM,-1.354061
111,MG-132,OPM2,-2.654886,PCM,-1.394053
112,MIM1,OPM2,3.426423,PCM,2.967525
113,MIRA-1,OPM2,3.80327,PCM,4.937045
