"",drug,cell_line,prediction,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
0,5-Fluorouracil,LUAD.HCC827,5.472933,LUAD,5.191741,5-Fluorouracil,4.392229,1.719760,0.628404
1,ABT737,LUAD.HCC827,2.832198,LUAD,4.389625,ABT737,1.875342,2.053694,0.465919
2,AGI-5198,LUAD.HCC827,5.063128,LUAD,5.698307,AGI-5198,4.704103,0.907583,0.395584
3,AGI-6780,LUAD.HCC827,4.925839,LUAD,5.258638,AGI-6780,4.344912,1.086023,0.534912
4,AGK2,LUAD.HCC827,3.713538,LUAD,4.342128,AGK2,3.264510,0.926755,0.484516
5,AZ960,LUAD.HCC827,2.323411,LUAD,5.047218,AZ960,1.895669,1.724101,0.248096
6,AZD3759,LUAD.HCC827,2.359838,LUAD,-2.602837,AZD3759,2.512182,1.084536,-0.140469
7,AZD4547,LUAD.HCC827,3.879657,LUAD,3.380675,AZD4547,3.088286,1.600252,0.494529
8,AZD5363,LUAD.HCC827,3.367161,LUAD,4.219376,AZD5363,2.847820,1.441898,0.360179
9,AZD5582,LUAD.HCC827,1.523502,LUAD,2.972299,AZD5582,2.157595,2.342092,-0.270738
10,AZD6738,LUAD.HCC827,2.339456,LUAD,2.491286,AZD6738,2.057259,1.461663,0.193066
11,AZD7762,LUAD.HCC827,0.612362,LUAD,-0.259637,AZD7762,0.164435,1.542725,0.290348
12,AZD8186,LUAD.HCC827,3.186983,LUAD,2.968449,AZD8186,3.134757,1.404232,0.037192
13,Afatinib,LUAD.HCC827,0.854371,LUAD,-3.935928,Afatinib,1.594663,1.481016,-0.499854
14,Afuresertib,LUAD.HCC827,3.461856,LUAD,4.136904,Afuresertib,2.402550,1.471751,0.719759
15,Alpelisib,LUAD.HCC827,3.738944,LUAD,4.250128,Alpelisib,3.451086,1.407226,0.204557
16,Avagacestat,LUAD.HCC827,5.425638,LUAD,5.974605,Avagacestat,4.759122,1.072116,0.621683
17,Axitinib,LUAD.HCC827,4.202879,LUAD,4.678995,Axitinib,2.903591,1.677112,0.774717
18,BMS-345541,LUAD.HCC827,3.760483,LUAD,4.410972,BMS-345541,3.277956,1.320431,0.365431
19,BMS-536924,LUAD.HCC827,2.064626,LUAD,2.067005,BMS-536924,2.108959,1.381132,-0.032099
20,BMS-754807,LUAD.HCC827,3.205099,LUAD,4.120546,BMS-754807,2.163231,1.997750,0.521521
21,Bortezomib,LUAD.HCC827,-4.627317,LUAD,-4.751015,Bortezomib,-4.739097,1.068388,0.104625
22,Bosutinib,LUAD.HCC827,2.845362,LUAD,-0.149514,Bosutinib,2.618644,1.532012,0.147987
23,Buparlisib,LUAD.HCC827,1.526273,LUAD,1.703575,Buparlisib,1.132283,0.942456,0.418046
24,CCT007093,LUAD.HCC827,5.527743,LUAD,5.944281,CCT007093,5.191327,0.862412,0.390087
25,CZC24832,LUAD.HCC827,5.534224,LUAD,5.523252,CZC24832,5.137594,0.949818,0.417585
26,Camptothecin,LUAD.HCC827,-0.801389,LUAD,-0.321596,Camptothecin,-2.257481,1.838996,0.791786
27,Cediranib,LUAD.HCC827,2.275009,LUAD,0.034428,Cediranib,2.271131,1.192376,0.003252
28,Crizotinib,LUAD.HCC827,3.750266,LUAD,3.554618,Crizotinib,2.560661,1.510603,0.787503
29,Cyclophosphamide,LUAD.HCC827,5.948666,LUAD,7.068307,Cyclophosphamide,5.259220,0.888712,0.775781
30,Dactinomycin,LUAD.HCC827,-2.756037,LUAD,-3.509835,Dactinomycin,-3.772788,1.882940,0.539981
31,Dactolisib,LUAD.HCC827,-1.633770,LUAD,-0.743924,Dactolisib,-1.510724,1.429786,-0.086059
32,Dasatinib,LUAD.HCC827,-0.774151,LUAD,-1.569385,Dasatinib,1.287237,2.324073,-0.886972
33,Dinaciclib,LUAD.HCC827,-2.033325,LUAD,-3.045723,Dinaciclib,-2.654463,1.473357,0.421580
34,Docetaxel,LUAD.HCC827,-2.018757,LUAD,-0.806449,Docetaxel,-3.417161,2.548602,0.548695
35,Doramapimod,LUAD.HCC827,5.949734,LUAD,6.395796,Doramapimod,4.939070,1.188278,0.850528
36,EHT-1864,LUAD.HCC827,4.172162,LUAD,4.657623,EHT-1864,3.678237,0.983429,0.502248
37,EPZ004777,LUAD.HCC827,6.134833,LUAD,5.774092,EPZ004777,5.153416,0.977035,1.004485
38,EPZ5676,LUAD.HCC827,6.318112,LUAD,5.850756,EPZ5676,5.542946,1.028703,0.753537
39,Entinostat,LUAD.HCC827,2.765834,LUAD,-0.061344,Entinostat,2.030317,1.637052,0.449294
40,Entospletinib,LUAD.HCC827,3.375589,LUAD,5.248491,Entospletinib,3.672838,1.222475,-0.243153
