drug,LCLC,LCLC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,SCLC,SCLC,SCLC,SCLC
5-Fluorouracil,0.47767,0.113242,0.296279,0.628404,0.044028,0.859733,-0.567961,0.270432,0.064419,0.054809,0.304989,-0.514018
ABT737,0.442016,0.524748,0.527551,0.465919,0.546333,0.370028,0.356029,0.393804,-1.130284,-0.494017,-1.151788,-2.25164
AGI-5198,0.331711,0.116441,0.392929,0.395584,0.252637,0.260275,-0.10105,0.134767,-0.591062,-0.311158,-0.006424,-1.106407
AGI-6780,0.366411,0.25724,0.320825,0.534912,0.44351,0.572516,-0.100892,0.107959,0.014283,0.133168,0.334875,-0.512449
AGK2,0.058037,0.25893,0.118013,0.484516,0.24911,0.026397,-0.397228,-0.09446,-0.206558,0.037225,0.0869,-0.496433
AZ960,0.373662,0.364849,0.386347,0.248096,0.301734,0.473394,0.01289,-0.487906,-0.653248,-0.598838,-0.368623,-1.014227
AZD3759,0.353512,0.557241,-0.965762,-0.140469,-0.242577,0.163187,-0.354808,0.116167,0.108858,0.152741,0.226483,-0.0172
AZD4547,0.173958,0.133275,0.884479,0.494529,0.556707,0.242362,-0.77073,-0.133849,-0.279023,0.020148,-0.094766,-1.209741
AZD5363,0.029904,0.876633,-0.06224,0.360179,0.144795,0.181966,-0.24141,-0.795994,-0.206338,0.456584,0.836357,0.260709
AZD5582,0.267514,-0.132163,0.119348,-0.270738,0.443243,0.292927,-0.540189,-0.203878,0.113684,0.140797,0.313015,-0.241678
AZD6738,0.411061,0.434043,0.238231,0.193066,0.163064,0.261395,-0.111782,-0.073191,-0.664215,-0.009012,0.270066,-1.019063
AZD7762,0.245639,0.318689,0.158636,0.290348,0.191129,0.186663,-0.224479,-0.370994,-0.264231,0.371143,-0.042609,-0.480937
AZD8186,0.002691,0.70212,-0.319029,0.037192,-0.186982,-0.037055,-0.165507,-0.61877,0.320087,0.34844,0.806821,0.277117
Afatinib,0.1473,0.491933,-1.487294,-0.499854,-0.483639,-0.119627,-1.044176,-0.080609,0.023019,0.046869,0.155379,-0.379062
Afuresertib,0.237357,1.033045,-0.042148,0.719759,0.044929,0.15252,-0.297211,-0.836857,-0.262756,0.561125,0.809676,0.409189
Alpelisib,0.371089,0.726133,-0.144685,0.204557,-0.049888,-0.085296,-0.472602,-0.814827,-0.125262,0.036102,0.236477,-0.189287
Avagacestat,0.496307,0.526672,0.655366,0.621683,0.483632,0.747406,0.232859,0.053437,-0.038709,0.070264,0.289194,-0.30816
Axitinib,0.47543,0.559947,0.541915,0.774717,0.68044,0.395674,0.091482,-0.145926,-1.101815,-0.344511,-0.691275,-1.482513
BMS-345541,0.376305,0.247562,0.255973,0.365431,0.235381,0.853887,-0.409342,-0.536514,-0.319668,-0.471006,-0.136007,-0.727812
BMS-536924,0.178612,0.318143,-0.331623,-0.032099,-0.047552,0.177214,-0.518738,-0.56051,0.353358,0.301438,0.205889,-0.302038
BMS-754807,0.70216,0.328063,0.57913,0.521521,0.073137,-0.044513,-0.868268,-0.283635,-1.33547,-0.201038,-0.700215,-1.571994
Bortezomib,-0.621529,-0.335117,0.178489,0.104625,0.191046,-0.239938,-0.147234,-0.754876,-0.310851,-0.536366,-0.343253,-0.721916
Bosutinib,0.258436,0.439854,-0.063946,0.147987,0.399053,0.28144,-0.187092,-0.197037,0.278457,0.345505,0.41486,-0.389018
Buparlisib,0.156536,0.550917,0.079619,0.418046,-0.115302,0.448784,-0.353208,-0.549319,-0.342622,0.299841,0.253428,-1.013699
CCT007093,0.148061,0.007719,0.280226,0.390087,0.356754,0.390267,-0.241626,-0.386512,-0.496925,-0.22204,-0.344834,-0.733266
CZC24832,0.04312,0.383653,0.675036,0.417585,0.307658,0.362674,0.349167,-0.291988,-0.003762,0.147096,0.24285,-0.449128
Camptothecin,0.316306,-0.113226,0.604172,0.791786,-0.052875,0.717083,-0.156446,0.582864,-1.044576,-0.581004,-0.131778,-1.570731
Cediranib,0.038657,0.518807,-0.217442,0.003252,0.114159,0.185881,-0.474356,-0.584685,-0.324142,-0.076765,-0.169483,-0.625624
