,drug,cell_line,IC50,OncotreeCode,prediction
0,5-Fluorouracil,OPM2,3.454205,PCM,2.845993
1,5-azacytidine,OPM2,1.412405,PCM,2.305539
2,A-366,OPM2,3.899873,PCM,4.013761
3,ABT737,OPM2,1.208203,PCM,-1.270831
4,AGI-5198,OPM2,3.522023,PCM,4.109379
5,AGI-6780,OPM2,3.788475,PCM,3.152517
6,AGK2,OPM2,2.446377,PCM,2.52739
7,AMG-319,OPM2,4.601831,PCM,3.882188
8,AT13148,OPM2,2.147748,PCM,1.869793
9,AZ6102,OPM2,1.98413,PCM,2.008366
10,AZ960,OPM2,-0.00282,PCM,0.40731
11,AZD1208,OPM2,4.601831,PCM,4.553885
12,AZD1332,OPM2,0.953965,PCM,2.905562
13,AZD2014,OPM2,-0.372368,PCM,0.730587
14,AZD3759,OPM2,1.458643,PCM,2.824754
15,AZD4547,OPM2,-1.251792,PCM,2.1472
16,AZD5153,OPM2,-3.170036,PCM,-0.555905
17,AZD5363,OPM2,0.826557,PCM,0.812625
18,AZD5438,OPM2,0.506596,PCM,0.826097
19,AZD5582,OPM2,1.873079,PCM,0.471738
20,AZD5991,OPM2,-3.051117,PCM,-1.08471
21,AZD6738,OPM2,1.134841,PCM,1.268833
22,AZD7762,OPM2,-1.230775,PCM,-1.716539
23,AZD8055,OPM2,-2.233541,PCM,-1.206035
24,AZD8186,OPM2,4.154317,PCM,2.876544
25,Acetalax,OPM2,5.118468,PCM,4.084933
26,Afatinib,OPM2,1.778145,PCM,1.84804
27,Afuresertib,OPM2,-0.042964,PCM,0.295541
28,Alisertib,OPM2,-0.404305,PCM,-0.330462
29,Alpelisib,OPM2,2.638413,PCM,2.005273
30,Avagacestat,OPM2,4.11361,PCM,3.476341
31,Axitinib,OPM2,1.248727,PCM,1.547673
32,BI-2536,OPM2,-4.853847,PCM,-3.734498
33,BIBR-1532,OPM2,4.583457,PCM,4.25998
34,BMS-345541,OPM2,1.992539,PCM,2.068901
35,BMS-536924,OPM2,-0.64021,PCM,0.508684
36,BMS-754807,OPM2,-0.849515,PCM,-0.644677
37,Bleomycin,OPM2,2.583333,PCM,2.252129
38,Bleomycin (50 uM),OPM2,4.85527,PCM,2.313087
39,Bortezomib,OPM2,-5.630687,PCM,-6.049962
40,Bosutinib,OPM2,1.15148,PCM,2.133705
41,Bromosporine,OPM2,-0.088631,PCM,1.55277
42,Buparlisib,OPM2,0.559263,PCM,-0.047061
43,CCT007093,OPM2,4.352016,PCM,4.251781
44,CPI-637,OPM2,0.758976,PCM,2.289671
45,CZC24832,OPM2,4.403091,PCM,4.179542
46,Camptothecin,OPM2,-2.500271,PCM,-2.323
47,Carmustine,OPM2,5.700444,PCM,5.315485
48,Cediranib,OPM2,-0.018775,PCM,2.562748
49,Cisplatin,OPM2,1.770413,PCM,1.826055
50,Crizotinib,OPM2,0.992639,PCM,0.814722
51,Cyclophosphamide,OPM2,4.601742,PCM,4.467031
52,Cytarabine,OPM2,0.420702,PCM,1.600621
53,Dabrafenib,OPM2,3.27401,PCM,3.656647
54,Dacarbazine,OPM2,3.888655,PCM,4.449713
55,Dactinomycin,OPM2,-4.608976,PCM,-5.07342
56,Dactolisib,OPM2,-3.593117,PCM,-2.971746
57,Daporinad,OPM2,-5.123417,PCM,-5.946152
58,Dasatinib,OPM2,1.278635,PCM,1.72026
59,Dihydrorotenone,OPM2,0.44955,PCM,-0.777917
60,Dinaciclib,OPM2,-3.767888,PCM,-4.399111
61,Docetaxel,OPM2,-4.089259,PCM,-5.597887
62,Doramapimod,OPM2,3.858415,PCM,4.3041
63,EHT-1864,OPM2,3.542593,PCM,2.957254
64,EPZ004777,OPM2,4.045858,PCM,4.315357
65,EPZ5676,OPM2,4.443691,PCM,4.606015
66,Elephantin,OPM2,1.806654,PCM,2.127768
67,Entinostat,OPM2,0.525157,PCM,0.476174
68,Entospletinib,OPM2,3.029222,PCM,3.631122
69,Epirubicin,OPM2,-1.498083,PCM,-0.776427
70,Erlotinib,OPM2,2.292839,PCM,2.894649
71,Fludarabine,OPM2,3.893629,PCM,3.577952
72,Foretinib,OPM2,-0.029525,PCM,-0.097553
73,Fulvestrant,OPM2,3.227639,PCM,2.707946
74,GDC0810,OPM2,4.051211,PCM,4.233617
75,GSK-LSD1,OPM2,1.645532,PCM,2.091043
76,GSK1904529A,OPM2,3.681037,PCM,3.805338
77,GSK2110183B,OPM2,0.947124,PCM,0.673623
