drug,cell_line,IC50,OncotreeCode
5-Fluorouracil,HL60,2.558926,AML
5-azacytidine,HL60,0.917132,AML
A-366,HL60,4.83616,AML
ABT737,HL60,-2.817798,AML
AGI-5198,HL60,3.644734,AML
AGI-6780,HL60,3.037778,AML
AGK2,HL60,2.904736,AML
AMG-319,HL60,3.808546,AML
AT13148,HL60,3.379137,AML
AZ6102,HL60,2.479558,AML
AZ960,HL60,0.054884,AML
AZD1208,HL60,4.885844,AML
AZD1332,HL60,4.895281,AML
AZD2014,HL60,3.617651,AML
AZD3759,HL60,2.156169,AML
AZD4547,HL60,3.137978,AML
AZD5153,HL60,-0.760805,AML
AZD5363,HL60,1.933375,AML
AZD5438,HL60,1.929562,AML
AZD5582,HL60,1.523764,AML
AZD5991,HL60,-2.292906,AML
AZD6738,HL60,2.042793,AML
AZD7762,HL60,0.296543,AML
AZD8055,HL60,1.456973,AML
AZD8186,HL60,1.816854,AML
Acetalax,HL60,5.255601,AML
Afatinib,HL60,1.518567,AML
Afuresertib,HL60,3.057738,AML
Alisertib,HL60,-1.114913,AML
Alpelisib,HL60,2.21634,AML
Avagacestat,HL60,3.321006,AML
Axitinib,HL60,1.346913,AML
BI-2536,HL60,-3.860741,AML
BIBR-1532,HL60,3.967546,AML
BMS-345541,HL60,4.133874,AML
BMS-536924,HL60,-0.15958,AML
BMS-754807,HL60,-0.497059,AML
Bleomycin,HL60,2.846334,AML
Bleomycin (50 uM),HL60,3.346662,AML
Bortezomib,HL60,-5.511162,AML
Bosutinib,HL60,1.746057,AML
Bromosporine,HL60,0.197511,AML
Buparlisib,HL60,0.361896,AML
CCT007093,HL60,4.802852,AML
CPI-637,HL60,3.339946,AML
CZC24832,HL60,4.656184,AML
Camptothecin,HL60,-4.472606,AML
Carmustine,HL60,5.767251,AML
Cediranib,HL60,1.939612,AML
Cisplatin,HL60,1.387772,AML
Crizotinib,HL60,2.02268,AML
Cyclophosphamide,HL60,2.452611,AML
Cytarabine,HL60,0.250847,AML
Dabrafenib,HL60,4.896857,AML
Dacarbazine,HL60,5.007591,AML
Dactinomycin,HL60,-3.828022,AML
Dactolisib,HL60,-1.099591,AML
Dasatinib,HL60,2.184483,AML
Dihydrorotenone,HL60,-3.980924,AML
Dinaciclib,HL60,-3.863254,AML
Docetaxel,HL60,-5.308438,AML
Doramapimod,HL60,4.815009,AML
EHT-1864,HL60,2.148829,AML
EPZ004777,HL60,4.743614,AML
EPZ5676,HL60,4.468414,AML
Elephantin,HL60,2.441787,AML
Entinostat,HL60,0.657198,AML
Entospletinib,HL60,4.430713,AML
Epirubicin,HL60,-2.725109,AML
Erlotinib,HL60,3.516011,AML
Fludarabine,HL60,1.615393,AML
Foretinib,HL60,0.507843,AML
Fulvestrant,HL60,3.329908,AML
GDC0810,HL60,1.950125,AML
GNE-317,HL60,-0.282199,AML
GSK-LSD1,HL60,0.670554,AML
GSK1904529A,HL60,4.988584,AML
GSK2110183B,HL60,3.692014,AML
GSK2578215A,HL60,2.065239,AML
GSK2606414,HL60,2.656222,AML
GSK2801,HL60,4.181437,AML
GSK2830371,HL60,3.332171,AML
GSK343,HL60,2.845398,AML
GSK591,HL60,4.336599,AML
GW441756,HL60,2.912734,AML
Gallibiscoquinazole,HL60,1.713327,AML
Gefitinib,HL60,3.269647,AML
Gemcitabine,HL60,-3.005111,AML
I-BET-762,HL60,0.75756,AML
I-BRD9,HL60,2.824221,AML
ICL-SIRT078,HL60,3.229446,AML
IWP-2,HL60,1.86372,AML
Ibrutinib,HL60,3.251737,AML
Ipatasertib,HL60,2.421669,AML
Irinotecan,HL60,0.505657,AML
JNK Inhibitor VIII,HL60,4.787407,AML
JQ1,HL60,-1.774252,AML
KRAS (G12C) Inhibitor-12,HL60,5.559532,AML
KU-55933,HL60,4.233836,AML
L-Oxonoreleagnine,HL60,3.071544,AML
LCL161,HL60,3.909526,AML
LGK974,HL60,2.274807,AML
LJI308,HL60,4.338849,AML
LMP744,HL60,-1.699738,AML
LY2109761,HL60,4.893069,AML
Lapatinib,HL60,3.124205,AML
Leflunomide,HL60,4.850157,AML
Lenalidomide,HL60,3.177559,AML
Lestaurtinib,HL60,-1.224208,AML
Linsitinib,HL60,2.296419,AML
Luminespib,HL60,-3.321522,AML
MG-132,HL60,-1.14181,AML
MIM1,HL60,4.384764,AML
MIRA-1,HL60,4.251009,AML
MK-1775,HL60,0.537033,AML
MK-2206,HL60,3.567611,AML
MK-8776,HL60,3.474365,AML
ML323,HL60,3.795059,AML
MN-64,HL60,2.037886,AML
Methotrexate,HL60,-3.429267,AML
Mirin,HL60,4.734348,AML
Mitoxantrone,HL60,-1.648092,AML
Motesanib,HL60,3.398147,AML
Mycophenolic acid,HL60,0.872644,AML
N-acetyl cysteine,HL60,9.943743,AML
NU7441,HL60,0.40654,AML
NVP-ADW742,HL60,0.25705,AML
Navitoclax,HL60,-1.246696,AML
Nelarabine,HL60,5.274322,AML
Nilotinib,HL60,2.067855,AML
Niraparib,HL60,4.647715,AML
Nutlin-3a (-),HL60,3.685447,AML
OF-1,HL60,0.928478,AML
OSI-027,HL60,3.820561,AML
OTX015,HL60,-0.554517,AML
Obatoclax Mesylate,HL60,0.645424,AML
Olaparib,HL60,3.475814,AML
Osimertinib,HL60,1.05863,AML
Oxaliplatin,HL60,2.398582,AML
P22077,HL60,1.495135,AML
PCI-34051,HL60,4.391048,AML
PD0325901,HL60,-3.501066,AML
PD173074,HL60,4.208856,AML
PFI-1,HL60,2.459947,AML
PFI3,HL60,4.259533,AML
PLX-4720,HL60,3.794436,AML
POMHEX,HL60,1.407742,AML
PRIMA-1MET,HL60,5.892109,AML
PRT062607,HL60,2.149309,AML
Paclitaxel,HL60,-4.906881,AML
Palbociclib,HL60,2.306101,AML
Pevonedistat,HL60,-1.459439,AML
Picolinici-acid,HL60,4.740492,AML
Pictilisib,HL60,1.262272,AML
Podophyllotoxin bromide,HL60,-1.674663,AML
Pyridostatin,HL60,4.298902,AML
RO-3306,HL60,4.847768,AML
RVX-208,HL60,3.35364,AML
Rapamycin,HL60,-1.398099,AML
Refametinib,HL60,-1.167613,AML
Remodelin,HL60,3.243689,AML
Ribociclib,HL60,3.433514,AML
Romidepsin,HL60,-6.094023,AML
Rucaparib,HL60,3.78804,AML
Ruxolitinib,HL60,3.372182,AML
SB216763,HL60,3.882611,AML
SB590885,HL60,3.906465,AML
SCH772984,HL60,0.146872,AML
SGC-CBP30,HL60,3.667655,AML
SGC0946,HL60,1.874233,AML
SN-38,HL60,-5.868396,AML
Sabutoclax,HL60,0.814406,AML
Sapitinib,HL60,3.307865,AML
Savolitinib,HL60,1.442681,AML
Schweinfurthin A,HL60,-1.71815,AML
Selumetinib,HL60,0.441364,AML
Sepantronium bromide,HL60,-5.547198,AML
Serdemetan,HL60,3.580526,AML
Sinularin,HL60,3.352685,AML
Sorafenib,HL60,0.645929,AML
Staurosporine,HL60,-2.354547,AML
Talazoparib,HL60,0.970772,AML
Tamoxifen,HL60,2.773471,AML
Tanespimycin,HL60,-0.02127,AML
Taselisib,HL60,1.075933,AML
Telomerase Inhibitor IX,HL60,-0.174372,AML
Temozolomide,HL60,5.287843,AML
Temsirolimus,HL60,0.734264,AML
Teniposide,HL60,-1.596655,AML
Topotecan,HL60,-1.336943,AML
Trametinib,HL60,-3.320319,AML
UMI-77,HL60,1.435243,AML
UNC0379,HL60,4.588174,AML
UNC0638,HL60,2.025077,AML
Ulixertinib,HL60,1.306203,AML
Uprosertib,HL60,3.358422,AML
VE-822,HL60,3.054477,AML
VE821,HL60,4.8754,AML
VX-11e,HL60,2.050311,AML
Veliparib,HL60,4.110177,AML
Venetoclax,HL60,-4.488296,AML
Vinblastine,HL60,-6.310347,AML
Vincristine,HL60,-4.649077,AML
Vinorelbine,HL60,-4.581106,AML
Vismodegib,HL60,3.578583,AML
Vorinostat,HL60,0.205701,AML
