drug,cell_line,IC50
5-Fluorouracil,22RV1,2.319585
5-azacytidine,22RV1,3.192165
ABT737,22RV1,3.98776
AGI-5198,22RV1,6.255464
AGI-6780,22RV1,4.194722
AMG-319,22RV1,6.450931
AT13148,22RV1,2.529538
AZ6102,22RV1,2.9276
AZ960,22RV1,3.969719
AZD1332,22RV1,3.424256
AZD2014,22RV1,-0.554046
AZD3759,22RV1,3.408729
AZD4547,22RV1,3.618655
AZD5153,22RV1,0.758838
AZD5363,22RV1,2.654513
AZD5438,22RV1,3.426016
AZD5582,22RV1,2.402949
AZD5991,22RV1,3.873425
AZD6738,22RV1,3.384121
AZD8055,22RV1,-1.458397
AZD8186,22RV1,3.749366
Acetalax,22RV1,-0.236071
Afatinib,22RV1,2.316328
Afuresertib,22RV1,1.553442
Alisertib,22RV1,3.292027
Alpelisib,22RV1,2.207962
Avagacestat,22RV1,5.06275
Axitinib,22RV1,4.474203
BI-2536,22RV1,-1.501355
BMS-345541,22RV1,2.47004
BMS-536924,22RV1,2.862935
Bleomycin,22RV1,4.031109
Bleomycin (50 uM),22RV1,3.97792
Bortezomib,22RV1,-4.6224
Bosutinib,22RV1,3.913924
Bromosporine,22RV1,2.842678
Buparlisib,22RV1,0.648494
CCT007093,22RV1,5.941977
CPI-637,22RV1,4.905957
CZC24832,22RV1,4.677051
Carmustine,22RV1,6.148346
Cediranib,22RV1,2.109625
Cisplatin,22RV1,3.372862
Crizotinib,22RV1,2.502973
Cyclophosphamide,22RV1,6.209993
Cytarabine,22RV1,4.189364
Dabrafenib,22RV1,6.439239
Dacarbazine,22RV1,6.889218
Dactinomycin,22RV1,-4.840963
Dactolisib,22RV1,-2.793766
Daporinad,22RV1,-3.112784
Dasatinib,22RV1,4.203067
Dihydrorotenone,22RV1,1.840438
Dinaciclib,22RV1,-2.715792
Doramapimod,22RV1,6.475129
EHT-1864,22RV1,4.235458
EPZ004777,22RV1,6.336956
EPZ5676,22RV1,6.343132
Elephantin,22RV1,3.359992
Entinostat,22RV1,1.987387
Entospletinib,22RV1,5.335641
Epirubicin,22RV1,-1.427706
Erlotinib,22RV1,4.439637
Fludarabine,22RV1,6.364086
Foretinib,22RV1,2.452178
Fulvestrant,22RV1,4.580928
GDC0810,22RV1,6.444654
GNE-317,22RV1,-0.17
GSK-LSD1,22RV1,3.011643
GSK2110183B,22RV1,2.124287
GSK2578215A,22RV1,6.124603
GSK2606414,22RV1,3.576363
GSK2801,22RV1,6.109209
GSK2830371,22RV1,6.076753
GSK343,22RV1,4.442465
GSK591,22RV1,6.043719
Gallibiscoquinazole,22RV1,3.323243
Gefitinib,22RV1,4.315802
Gemcitabine,22RV1,-2.883793
I-BET-762,22RV1,2.28072
ICL-SIRT078,22RV1,5.018785
IWP-2,22RV1,4.036203
Ibrutinib,22RV1,5.403357
Ipatasertib,22RV1,3.593688
Irinotecan,22RV1,2.222536
JNK Inhibitor VIII,22RV1,6.414185
JQ1,22RV1,2.439388
KU-55933,22RV1,6.475988
L-Oxonoreleagnine,22RV1,4.440545
LCL161,22RV1,5.787252
LGK974,22RV1,5.040647
LJI308,22RV1,5.298182
LMP744,22RV1,-1.957433
LY2109761,22RV1,5.936712
Lapatinib,22RV1,3.516958
Leflunomide,22RV1,5.715007
Lenalidomide,22RV1,6.214894
Lestaurtinib,22RV1,0.779534
Linsitinib,22RV1,3.596753
Luminespib,22RV1,-2.047939
MG-132,22RV1,-1.597174
MIM1,22RV1,4.773134
MIRA-1,22RV1,6.109497
MK-2206,22RV1,1.451813
MK-8776,22RV1,3.939079
ML323,22RV1,4.858924
MN-64,22RV1,6.20477
Mirin,22RV1,4.834877
Mitoxantrone,22RV1,-0.18664
Motesanib,22RV1,6.475988
Mycophenolic acid,22RV1,2.501541
N-acetyl cysteine,22RV1,9.416855
NVP-ADW742,22RV1,2.59346
Navitoclax,22RV1,4.803093
Nelarabine,22RV1,6.720936
Nilotinib,22RV1,4.238712
Niraparib,22RV1,3.559028
Nutlin-3a (-),22RV1,2.716152
OF-1,22RV1,4.981523
OSI-027,22RV1,1.119958
Obatoclax Mesylate,22RV1,0.980832
Olaparib,22RV1,4.811496
Osimertinib,22RV1,3.22546
Oxaliplatin,22RV1,3.173693
P22077,22RV1,6.470562
PCI-34051,22RV1,5.772326
PD173074,22RV1,3.830967
PFI-1,22RV1,3.564366
PFI3,22RV1,6.101116
POMHEX,22RV1,2.156797
PRIMA-1MET,22RV1,3.351648
PRT062607,22RV1,1.879975
Paclitaxel,22RV1,-2.240796
Palbociclib,22RV1,2.253138
Pevonedistat,22RV1,1.682196
Pictilisib,22RV1,0.523985
Podophyllotoxin bromide,22RV1,-0.355127
Pyridostatin,22RV1,3.071326
RO-3306,22RV1,3.511002
RVX-208,22RV1,4.562817
Rapamycin,22RV1,-4.382138
Refametinib,22RV1,2.966536
Ribociclib,22RV1,2.299274
Romidepsin,22RV1,-4.917572
Rucaparib,22RV1,4.095206
Ruxolitinib,22RV1,6.440741
SB216763,22RV1,5.831497
SB590885,22RV1,5.722726
SCH772984,22RV1,3.056805
SGC-CBP30,22RV1,4.973866
SGC0946,22RV1,3.799297
SN-38,22RV1,-4.972312
Sabutoclax,22RV1,-1.004245
Savolitinib,22RV1,3.621982
Schweinfurthin A,22RV1,1.454677
Selumetinib,22RV1,3.754136
Sepantronium bromide,22RV1,-3.030734
Serdemetan,22RV1,3.056134
Sinularin,22RV1,4.319845
Sorafenib,22RV1,3.52718
Staurosporine,22RV1,-2.50979
TW 37,22RV1,0.804539
Talazoparib,22RV1,2.51956
Tamoxifen,22RV1,3.733367
Tanespimycin,22RV1,2.390068
Taselisib,22RV1,0.963836
Telomerase Inhibitor IX,22RV1,0.5335
Temozolomide,22RV1,7.842775
Temsirolimus,22RV1,-0.974396
Teniposide,22RV1,0.35478
Topotecan,22RV1,-0.69901
Trametinib,22RV1,1.325603
UMI-77,22RV1,2.127041
UNC0379,22RV1,1.779301
UNC0638,22RV1,4.060162
Ulixertinib,22RV1,3.031144
Uprosertib,22RV1,1.201932
VE-822,22RV1,4.436175
VE821,22RV1,6.013336
VX-11e,22RV1,3.738037
Veliparib,22RV1,6.060621
Venetoclax,22RV1,4.398981
Vinblastine,22RV1,-4.384381
Vincristine,22RV1,-2.006153
Vismodegib,22RV1,5.391738
Vorinostat,22RV1,0.913749
WEHI-539,22RV1,5.052249
WIKI4,22RV1,4.876028
WZ4003,22RV1,4.30083
Wee1 Inhibitor,22RV1,2.788358
Wnt-C59,22RV1,4.158391
YK-4-279,22RV1,2.770574
ZM447439,22RV1,5.667987
Zoledronate,22RV1,4.115569
alpha-lipoic acid,22RV1,7.94115
glutathione,22RV1,10.422474
5-Fluorouracil,2313287,1.80734
5-azacytidine,2313287,2.032212
ABT737,2313287,2.960491
AGI-5198,2313287,5.008851
AGI-6780,2313287,5.095646
AMG-319,2313287,4.475098
AT13148,2313287,1.363643
AZ6102,2313287,1.983756
AZ960,2313287,1.506737
AZD1332,2313287,1.934366
AZD2014,2313287,-0.379516
AZD3759,2313287,3.05953
AZD4547,2313287,1.273797
AZD5153,2313287,0.629696
AZD5363,2313287,0.994665
AZD5438,2313287,1.445273
AZD5582,2313287,0.908576
AZD5991,2313287,2.958949
AZD6738,2313287,1.483559
AZD8055,2313287,0.264418
AZD8186,2313287,0.495401
Acetalax,2313287,1.242253
Afatinib,2313287,1.160219
Alisertib,2313287,4.399427
Alpelisib,2313287,1.939006
Avagacestat,2313287,5.449439
Axitinib,2313287,4.202567
BI-2536,2313287,-2.982427
BMS-345541,2313287,1.656376
BMS-536924,2313287,2.215589
