,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,5-azacytidine,22RV1,3.192165
2,A-366,22RV1,4.685324
3,AGI-5198,22RV1,6.255464
4,AGI-6780,22RV1,4.194722
5,AGK2,22RV1,3.839616
6,AMG-319,22RV1,6.450931
7,AT13148,22RV1,2.529538
8,AZ6102,22RV1,2.9276
9,AZ960,22RV1,3.969719
10,AZD1208,22RV1,5.007299
11,AZD1332,22RV1,3.424256
12,AZD2014,22RV1,-0.554046
13,AZD3759,22RV1,3.408729
14,AZD4547,22RV1,3.618655
15,AZD5153,22RV1,0.758838
16,AZD5363,22RV1,2.654513
17,AZD5438,22RV1,3.426016
18,AZD5582,22RV1,2.402949
19,AZD5991,22RV1,3.873425
20,AZD6738,22RV1,3.384121
21,AZD7762,22RV1,2.042511
22,AZD8186,22RV1,3.749366
23,Acetalax,22RV1,-0.236071
24,Afatinib,22RV1,2.316328
25,Afuresertib,22RV1,1.553442
26,Alisertib,22RV1,3.292027
27,Alpelisib,22RV1,2.207962
28,Avagacestat,22RV1,5.06275
29,Axitinib,22RV1,4.474203
30,BI-2536,22RV1,-1.501355
31,BIBR-1532,22RV1,6.360602
32,BMS-345541,22RV1,2.47004
33,BMS-536924,22RV1,2.862935
34,BMS-754807,22RV1,2.273743
35,Bleomycin,22RV1,4.031109
36,Bleomycin (50 uM),22RV1,3.97792
37,Bromosporine,22RV1,2.842678
38,Buparlisib,22RV1,0.648494
39,CZC24832,22RV1,4.677051
40,Camptothecin,22RV1,-2.90246
41,Cediranib,22RV1,2.109625
42,Cisplatin,22RV1,3.372862
43,Crizotinib,22RV1,2.502973
44,Cyclophosphamide,22RV1,6.209993
45,Cytarabine,22RV1,4.189364
46,Dacarbazine,22RV1,6.889218
47,Dactinomycin,22RV1,-4.840963
48,Dactolisib,22RV1,-2.793766
49,Daporinad,22RV1,-3.112784
50,Dasatinib,22RV1,4.203067
51,Dihydrorotenone,22RV1,1.840438
52,Dinaciclib,22RV1,-2.715792
